r̥ ɔ ⁵⁵	r ɔ ⁵⁵
d ə ʔ̚ ⁵¹	t ə ʔ̚ ⁰
m w i ¹¹	ŋ w i ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
cʰ w i ⁵¹	kʰ r w i t ⁵¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
pʰ ə ¹¹	pʰ ə ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
n a ¹¹	n̥ a ¹¹
kʰ e ⁵⁵	kʰ e ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
l i ŋ ¹¹	l i n ¹¹
m i ɴ ⁵⁵	ˀm i n ⁵⁵
t i ŋ ¹¹	ɟ i m ¹¹
p l a ¹¹	p l a ⁵⁵
ɲ̊ a ¹¹	ɲ̊ a ¹¹
cʰ a ⁵⁵	c a ⁵⁵
s u ɴ ¹¹	s u n ¹¹
p l a ¹¹	p l a ¹¹
r u ɴ ⁵⁵	r̥ u n ⁵⁵
w a ⁵⁵	g w a ⁵⁵
g w a ŋ ¹¹	g l a m ¹¹
n u ŋ ¹¹	n u ¹¹
ʔ o ¹¹	ʔ o ¹¹
kʰ o ¹¹	kʰ o ¹¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
m a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
n w ɛ ¹¹	n̥ w ɛ ¹¹
l u ⁵⁵	l u ⁵⁵
ʔ̚ w i ¹¹	ʔ w i ¹¹
k o ⁵⁵	k ɨ ⁵⁵
kʰ w i ʔ̚ ⁵¹	kʰ w i t ⁵¹
n ei ⁵⁵	n ei ⁵⁵
g a ⁰	k ə ʔ̚ ⁰
