qʰ o ¹	qʰ u ¹
q a ŋ ¹	q a ŋ ¹
ts o ⁴	ts o ⁴
n ɔ n ³	n ɔ ³
b r i ¹	b r i ²
k u ¹	g u ¹
q o ⁴	q ɔ ⁴
ts i ¹	dz i ¹
j ɯ ⁴	j ɯ ⁴
h o ¹	h ɔ ¹
k ɔ ¹	g ɔ ¹
ts j j i ¹	dʑ e n ¹
m r æ n ¹	m j æ ¹
t w e n ¹	t w e n ¹
n ɛ ¹	n ɛ ¹
ts j j e n ⁵	ts j e n ⁵
x e n ¹	x e n ¹
s r r ɯ ²	sʰ r ɯ ²
tsʰ o ⁴	tsʰ o ⁴
tɕʰ i ¹	tsʰ j i ¹
k ɯ ¹	g ɯ ¹
q ɛ ¹	q ɛ ¹
n j ø ⁴	b j o ⁴
ɕ j e n ¹	s j e n ¹
kʰ o ³	kʰ r o ³
tsʰ ø ¹	tsʰ u ŋ ¹
n j e n ¹	n j e n ¹
ɣ ɯ ³	ɣ ɯ ³
b r a ⁴	b r æ ⁴
m a ⁴	m a ⁴
ɖʐ j o ⁴	ɖʐ o ⁴
b ɛ ⁴	b ɛ ⁴
b æ ⁴	b æ ⁴
p j a ⁴	b r æ ⁴
q ɯ ¹	q ɯ ¹
? ɔ ¹	l a ¹
d w e n ⁵	ɖʐ w e n ⁵
b æ n ³	b æ n ³
d o n ²	ɖʐ u ŋ ²
j o ⁴	j ɔ ⁴
qʰ r u ²	qʰ u ²
pʰ j a ⁴	pʰ r a ⁴
t æ ¹	t æ ¹
ts i ¹	ts r i ¹
p ɛ ²	p ɛ ²
ŋ j o ŋ ⁴	ŋ j o ŋ ⁴
