l ou ¹¹	l̥ ou ¹¹
b i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
m e ¹¹	m e ¹¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
k ə t ⁵¹	k o t ⁵⁵
p l o m ¹¹	p l o m ¹¹
m a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
j o ⁵⁵	j o ⁵⁵
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
k ə ⁰	k ə ⁰
kʰ w i t ⁵¹	kʰ w i t ⁵¹
j ɨ m ¹¹	j ɨ m ¹¹
h ou ¹¹	h ou ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
l u ⁵⁵	l u ⁵⁵
k r ei ¹¹	kʰ r ei ¹¹
p l a ¹¹	p l a ¹¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
k ə ʔ̚ ⁰	k ə ʔ ⁰
ŋ a ⁵⁵	ŋ̊ a ⁵⁵
j o ʔ̚ ⁵¹	j o ʔ̚ ⁵¹
h a t̚ ⁵¹	h a t̚ ⁵¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
l o ŋ ¹¹	l̥ o ŋ ¹¹
ˀb a ¹¹	ˀb a ¹¹
d ə ¹¹	d ə ¹¹
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
p l ɔ ɴ ŋ ¹¹	p l ɔ ŋ ¹¹
s a ¹¹	s a ¹¹
ˀb i ¹¹	ˀb i ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
s w i ¹¹	s w i ¹¹
n o ʔ̚ ⁵¹	n o k̚ ⁵¹
