m ø ²	m o ²
q ɯ ¹	ɣ ɯ ¹
tsʰ j i ¹	tsʰ j i ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
s i ²	s r ɯ ²
ɣ ɔ ¹	ɣ ɔ ¹
ts i ⁴	ts j i ⁴
g r u ŋ ²	ɣ u ŋ ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
χ ɯ ⁴	χ ɯ ⁴
t ɛ ⁴	t ɛ ⁴
b ø ²	b o ŋ ²
ɖʐ i ⁴	ɖʐ i ⁴
qʰ w a ⁴	qʰ w a ⁴
ts j u ²	ts u ²
s j e n ¹	sʰ j e n ¹
q æ ⁴	q æ ⁴
o ⁴	ɔ ⁴
b æ ¹	b æ ŋ ¹
d ɛ ⁴	d ɛ ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
tsʰ j w e n ¹	tsʰ w e n ¹
ɖʐ w ɛ n ⁵	ɖʐ w e n ⁵
x æ n ¹	χ æ n ¹
m ɛ ¹	m ɛ ¹
p æ n ²	p æ n ²
d a ⁴	d a ⁴
dʑ i ⁴	d i ⁴
tɕ r ɯ ²	tɕ ɯ ²
pʰ j æ ¹	pʰ r æ ¹
b i ³	b r i ³
m r i ¹	m j i ¹
s w a n ¹	s w a ŋ ¹
p j a ⁴	p r a ⁴
sʰ w a ¹	ɕ w i ²
ɖʐ o ¹	ɖʐ u ŋ ¹
k æ ⁴	k æ ⁴
z ɯ ³	z ɯ ³
b a ⁴	b a ⁴
h ɔ ¹	h ɔ ¹
ɕ i ⁴	ɕ i ⁴
ʈ o ⁴	ts r o ⁴
qʰ ɛ ¹	qʰ e n ¹
qʰ w æ ⁵	qʰ w æ ³
ɖʐ o ¹	ɖʐ u ŋ ¹
d i ɯ ¹	d j ɯ ¹
ʈ o ²	ts r ɔ ²
