b o ²	pʰ u ¹
i ²	i ²
b ɛ ¹	b ɛ ¹
ɣ a ³	ɣ a ³
dz i ³	dz i̠ ¹
l u ²	l u ²
p y ³	p y ³
pʰ u ³	pʰ u ³
kʰ a ³	kʰ a ³
n̩ ²	n u ²
i ²	i ²
kʰ u ³	kʰ o̠ ³
kʰ a ²	kʰ a ²
m o ¹	m u ¹
m i ¹	ˀm i ¹
ʒ e ³	ʒ e ³
dz i ¹	dz i ¹
t a̠ ²	t a ⁵⁵
tʰ a ²	tʰ a ²
tʰ a ²	tʰ a ŋ ²
ˀm e̠ ¹	ˀm j e̠ ¹
k u ¹	k u ¹
a ¹	a ¹
a ¹	a ¹
k u ³	k j o ²
l a̠ ²	l a ²
s j a ¹	s y ¹
pʰ y ²	pʰ y ²
n a ²	n a ²
ts ɛ ¹	ts ɛ ¹
s u ²	s u ¹
tsʰ e ¹	tsʰ e ¹
t ɛ ¹	t ɛ ¹
dz i̠ ²	dz i̠ ¹
v ɛ ¹	v u ¹
ʒ o ³	ʒ o̠ ¹
dz a ²	dz a ¹
? i ³	dz ɿ ³
o i ³	ʒ i̠ ³
k o̠ ²	k o̠ ¹
ˀm e̠ ¹	ˀm e̠ ¹
p y ²	p y ²
t e̠ ¹	t u ¹
h e̠ ³	h e̠ ³
x ɛ ¹	kʰ a̠ ¹
kʰ a ³	kʰ a ³
ˀl y ³	ˀl y ³
v ɛ ³	v i ²
ˀv e̠ ¹	ˀv e̠ ¹
tʰ a ²	tʰ a ŋ ²
n e̠ ³	n e ²
x a ¹	x a ¹
dʒ a ²	dʒ ɛ ²
g j o̠ ³	g o̠ ³
h e ¹	h e ¹
d u ³	d u ²
p a̠ ³	p a̠ ³
d i ¹	d i ¹
ts e̠ ²	ts e ²
z a ²	z a ²
ɣ i ¹	ɣ i ¹
tʰ a ²	tʰ a ²
g a ŋ ²	g a ŋ ³
b ɛ ³	b j e̠ ³
kʰ j i ²	tsʰ ɿ ²
pʰ e ¹	pʰ e ¹
m o ²	m o ²
m u ¹	ˀm u ¹
kʰ i ²	kʰ ɨ ²
g a ¹	g a ¹
ʃ ɛ ¹	ʃ ɛ ¹
tʰ ɛ ³	tʰ ɛ ³
dz e ²	dz i ²
a ²	a ²
ʃ ɛ ¹	ʃ ɛ ¹
l a ¹	l a ¹
pʰ i̠ ³	pʰ e ²
g y j ²	g y ²
x ɛ ²	x ɛ ²
kʰ o̠ ³	kʰ o̠ ³
t a ŋ ¹	t a ŋ ¹
s y ²	s y ²
ˀl a ²	ˀl a ²
x a ²	ʃ a ²
p ɨ ŋ ¹	p ɨ ¹
n y ²	n y ²
g o̠ ¹	g o̠ ¹
pʰ ɨ ²	pʰ ɨ ²
t a ³	t a ³
dʒ i ¹	dʒ i ¹
p a̠ ²	p a̠ ³
ˀl e̠ ³	l e̠ ³
ts a ¹	ts a ¹
t a̠ ²	t a ⁵⁵
k a ³	k j i ³
n a ²	n a ²
ɲ j e ²	ɲ e ¹
n e̠ ³	n e̠ ³
kʰ o̠ ³	kʰ o̠ ³
k o ³	k o ³
l a ²	l a ²
t o̠ ³	t u ³
m e ³	ˀm u ²
ʃ i ³	ʃ i̠ ¹
x ɛ̠ ³	x a̠ ³
a ¹	a ¹
z a̠ ²	z a ²
l e̠ ³	l e̠ ³
m i̠ ³	m i̠ ¹
d e̠ ³	d ɛ̠ ³
a ¹	a ¹
tʃʰ a ?	tsʰ i ²
n ²	n u ²
kʰ u ¹	kʰ u ¹
a ¹	a ¹
z ɛ ¹	z ɛ ¹
tʃ a̠ ³	tʃ ɛ̠ ³
i ³	ɨ̠ ¹
h e̠ ³	x e̠ ³
kʰ ɨ ¹	kʰ i ¹
ɣ i ¹	ɣ ɛ ¹
pʰ ɨ ¹	pʰ ɨ ¹
m ɛ ²	m ɛ ²
z y ²	z y ²
