t r ɯ ⁵	tʲ ɯ ⁵
qʰ ɯ ¹	qʰ ɯ̃ ¹
ʈ r ɯ ²	ʈ ɯ ²
b ɯ ¹	b r i ¹
m ɯ ⁴	m ɯ ⁴
tɕ a ⁴	dʑ a ⁴
kʰ o ³	kʰ r o ³
tɕ i ⁴	ts j i ⁴
m ɛ ¹	m ɛ ¹
t ɯ ⁴	t ɯ ⁴
q æ ⁴	q æ ⁴
ʈ r æ ⁴	ʈ æ ⁴
d r ɯ ¹	d j ɯ ¹
t w e n ²	t w e n ²
ʈ o ²	ts r ɔ ²
tʰ r i ²	tʰ j e ²
s r i ²	s r ɯ ²
ts o ⁴	ɖʐ u ŋ ⁴
b i ⁴	p r i ⁴
ʈ r o ŋ ¹	d r o ŋ ¹
t æ ⁴	t æ ŋ ⁴
ʈ r ɯ ¹	d r ɯ̃ ¹
q u ŋ ²	ɣ u ŋ ²
p æ ⁴	p æ ⁴
d o ¹	ɖʐ o ¹
tɕ e ¹	tɕ u ¹
b e ¹	b e ¹
ɕ o ⁴	ɕ o ⁴
m ɔ ⁴	m ɯ ⁴
s r r o ŋ ¹	sʰ r o ŋ ¹
sʰ w e ⁴	sʰ w ɛ ⁴
ts r u ²	ts u ²
t ɛ ⁴	t ɛ ⁴
m ɛ ⁵	m ɛ ⁵
ɖʐ r o ŋ ¹	z r o ŋ ¹
qʰ w æ ³	qʰ w æ ³
tɕ j e n ¹	tɕ e n ¹
k w i ¹	k w ɛ ¹
p u ²	p ɯ ²
ɣ ɯ ²	ɣ ɯ ²
m r i ¹	m j i ¹
ŋ o ³	ŋ o ³
ɕ j e n ¹	s j e n ¹
k o ⁵	k o ⁵
j o ⁵	j ɔ ⁵
g ɯ ¹	g ɯ ¹
