l u m ¹¹	l u ɴ ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
w i ⁵⁵	w i ⁵⁵
ˀb ɔ ŋ ⁵⁵	ˀb ɔ ⁵⁵
k ə ʔ̚ ⁰	k ə ʔ ⁰
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
c i ¹¹	ɟ i ¹¹
b l a ¹¹	b l a ¹¹
m̥ a ŋ ¹¹	m a ŋ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
s i ⁵⁵	s ei ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
k r̥ ei ¹¹	kʰ r ei ¹¹
c a ¹¹	ɟ a ¹¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
l a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
j ou ¹¹	j ou ¹¹
kʰ u ¹¹	kʰ u ¹¹
k o t ⁵¹	k o t ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
cʰ u ɴ ⁵⁵	cʰ u ɴ ⁵⁵
k ɨ ŋ ⁵⁵	k ɨ ⁵⁵
k w a t ⁵¹	k w a t̚ ⁵¹
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
s ei ¹¹	s r ei ¹¹
m̥ a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
tʰ w o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
tʰ u n ¹¹	tʰ u ɴ ¹¹
m̥ ei ⁵⁵	m̥ ei ⁵⁵
kʰ u ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
s e ⁵¹	s r e ³³
kʰ a ¹¹	kʰ a ¹¹
