ɲ̊ ei ⁵⁵	n̥ ei ⁵⁵
d ɨ m ⁵⁵	d ɨ m ⁵⁵
ʔ ɔ ɴ ŋ ¹¹	ʔ ɔ ɴ ¹¹
ɲ̊ a ¹¹	ɲ̊ a ¹¹
l o ŋ ¹¹	l̥ o ŋ ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
ˀb a ¹¹	ˀb a ¹¹
k w a n ¹¹	g l a m ¹¹
l w i ⁵¹	l̥ w i t̚ ⁵⁵
h ou ¹¹	h ou ¹¹
p l a ¹¹	p l a ¹¹
k a ʔ ⁰	k ə ʔ̚ ⁰
n ai ¹¹	n ei ¹¹
k ə ⁰	k ə ⁰
r̥ ɔ ⁵⁵	r ɔ ⁵⁵
k r ei ¹¹	kʰ r ei ¹¹
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
ɲ̊ ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
j ɔ ʔ̚ ⁵¹	j ɔ ʔ ⁵¹
m i ɴ ⁵⁵	m i n ⁵⁵
kʰ o ¹¹	kʰ o ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
n i ⁵⁵	n̥ i ⁵⁵
l ɛ ¹¹	l ɛ ¹¹
kʰ l ə ¹¹	kʰ l o ¹¹
ŋ ə ⁰	p ə ⁰
ŋ j a ⁵⁵	r j a ⁵⁵
m ei ⁵⁵	m̥ ei ⁵⁵
g w a ¹¹	h w a ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
s w i ¹¹	s w i ¹¹
p l ɔ ɴ ŋ ¹¹	p l ɔ ŋ ¹¹
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
