i ³	j i ³
k u ¹	k r o ŋ ¹
ŋ ɯ̃ ¹	ŋ ɯ ¹
ɣ a ŋ ¹	ɣ æ ¹
n j e ⁴	n j i ⁴
s r o ¹	s r o ¹
s u ŋ ³	s u ŋ ³
q o ŋ ŋ ⁴	q ɔ ⁴
b æ ¹	b æ ¹
sʰ w a ⁴	sʰ w a ⁴
d r ɯ ³	d r ɯ ³
m ɯ ⁴	m ɯ ⁴
p r e n ¹	p r e n ¹
k æ ⁴	k æ ⁴
tɕ i ¹	tɕ i ¹
tʰ u ¹	tʰ r u ¹
b ɯ ¹	b ɯ ¹
e n ¹	j e n ¹
d r ɯ ³	d ɯ ⁵
ʈ r ɯ ²	ʈ ɯ ²
qʰ w ²	kʰ w ɛ ²
m ɯ ³	m ɯ ⁵
qʰ ɔ ¹	qʰ ɔ ¹
χ ɯ ⁴	χ ɯ ⁴
ʈ r u ŋ ¹	ʈ o ŋ ¹
ʁ j o ŋ ²	n j o ŋ ²
m ɛ ³	m i ¹
tʰ r o ⁴	tʰ r o ⁴
ʔ u ⁴	ʔ o ⁴
ɣ æ ⁴	ɣ æ ⁴
tɕ r ɯ ¹	tɕ ɯ ¹
g r u ŋ ²	ɣ u ŋ ²
m ø ŋ ²	m ø ²
tsʰ w a ŋ ²	tsʰ w a ŋ ²
m ɔ ⁴	m ɯ ⁴
p j ɛ ³	pʰ j ɛ ³
ʁ j o ŋ ¹	n j o ¹
s r e ŋ ¹	sʰ r e ŋ ¹
s r e ŋ ¹	s r e ŋ ¹
ɣ ɯ ²	ɣ ɯ ²
qʰ ʔ u ²	qʰ u ²
tsʰ r ¹	tsʰ r e ŋ ¹
ts r e ²	ts r e n ²
d i ²	dʑ i ²
b r i z ¹	b r i ²
ts r ʔ e ŋ ¹	ts r e ŋ ¹
p æ ⁴	p æ ⁴
