ts o ²	k r o ²
qʰ w i ²	kʰ w ɛ ²
ts i ¹	ts r e ŋ ¹
s a ⁴	s a ⁴
m o ⁴	m ɔ ⁴
ts i ²	ts i ²
g ɯ ³	g ɯ̃ ³
tɕʰ i ¹	tɕʰ i ¹
ɕ j e n ¹	s j e n ¹
pʰ j a ⁴	pʰ r a ⁴
x ɯ ²	x ɯ ³³
tʰ r a ⁴	tʰ j æ ⁴
k w a ⁴	k w a ⁴
s u ³	sʰ ɔ ³
g o ¹	g o ¹
d o ⁴	d r o ⁴
pʰ e ¹	pʰ e ¹
p j i ³	pʰ j ɛ ³
m e ¹	m e ¹
tɕ i ¹	tɕ i ¹
s r i ²	s r ɯ ²
x e n ¹	x e n ¹
p r a ⁵	b a ŋ ⁴
q j e ⁴	tsʰ w a ⁴
b o ¹	b ã ¹
ʁ ɯ ²	ʁ ɯ ⁴
d r ɯ ³	d j ɯ ¹
t ɯ ⁴	d j ɯ ²
s r u ¹	ʂ u ¹
d o ŋ ¹	d o ŋ ¹
? ɔ ³	h ɔ ³
b j a ⁴	b r æ ⁴
s i ²	s i ²
x e n ¹	x e n ¹
q æ n ¹	q æ n ¹
t r ɯ ⁵	tʲ ɯ ⁵
pʰ æ n ³	pʰ æ n ³
qʰ r ɔ ²	qʰ ɔ ²
m æ ²	m æ ²
m ɯ ŋ ⁴	m ɯ ⁴
s ɔ ⁴	s ɔ ⁴
t w e n ¹	t w e n ¹
qʰ w a ⁴	qʰ w a ⁴
ʈ u ⁴	ʈ o ⁴
ts j i ³	d i ³
χ æ n ¹	χ æ n ¹
