ɖʐ u ¹	ɖʐ u ŋ ¹
x ɔ ³	h ɔ ³
tʰ u ³	tʰ r u ³
ts i ²	ts i ²
g u ¹	g u ¹
h a ŋ ⁵	h a ŋ ⁵
tɕ i ¹	tɕ i ¹
b ɯ ¹	b ɯ ¹
x w i ²	x w i ²
b j ɛ ²	b j ɛ ²
sʰ r æ ⁴	sʰ r æ ⁴
ɖʐ o ³	ɖʐ o ³
m ɛ ¹	m ɛ ¹
m ɯ ŋ ¹	m ɯ ¹
tsʰ j e ¹	tsʰ j i ¹
tʰ r æ n ¹	tʰ æ n ¹
dʑ o ŋ ŋ ²	ɖʐ u ŋ ²
ɕ a ⁴	ɕ a ⁴
dz u ŋ ¹	dz o ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
tʰ r r æ n ¹	tʰ æ n ¹
tɕ j e n ²	ɖʐ e n ²
s r o ⁵	s r o ⁴
p r a ŋ ⁵	b a ŋ ⁴
p æ ¹	b j o ²
n e ⁴	n e ⁴
m ɯ ⁴	m ɯ ⁴
n o ²	n o ²
p r e n ¹	p r e n ¹
m u ⁴	m ɔ ⁴
t u ²	t u ²
tsʰ j æ n ¹	tsʰ j æ n ¹
qʰ ɯ ¹	k ɯ ¹
n o ŋ ¹	n o ŋ ¹
h w a ⁴	h w a ⁴
tsʰ o ⁴	tsʰ o ⁴
s w a n ¹	s w a ŋ ¹
dʑ æ n ³	dʑ æ n ³
tɕ j e n ¹	tɕ e n ¹
tɕ ɯ ¹	tɕ u ¹
b e ²	b e ²
qʰ o ¹	qʰ u ¹
s w a ŋ ¹	s w a ŋ ²¹
dʑ i ⁴	d i ⁴
ŋ o ⁵	ŋ o ³
ɖʐ o ⁴	ɖʐ o ⁴
z ɔ ¹	z ɔ ¹
