k o̠ ³	k o̠ ¹
a ¹	a ¹
ts i ¹	ts u ¹
v e̠ ³	v e̠ ³
n i̠ ¹	n i̠ ¹
ŋ o ¹	ˀŋ y ¹
n i ¹	n i ¹
a ¹	a ¹
b u ³	b a ŋ ³
a ¹	a ¹
d i ³	d u ¹
x a ²	x a ²
g i ²	g i ²
l o̠ ³	l o̠ ³
a ¹	a ¹
v ɛ ¹	v ɛ ¹
ɣ i ¹	ɣ i ¹
kʰ ɛ ²	kʰ j ɛ ²
a ¹	a ¹
z a ²	z a ²
pʰ i ²	p i ²
k ɛ ³	kʰ j e ¹
k u ¹	k u ¹
l e̠ ³	l e̠ ³
ʃ i ¹	ʃ ɛ ¹
m j o̠ ³	m j o̠ ³
j a ²	j a ŋ ²
s a ²	s a ²
ɣ ɛ ¹	ɣ ɛ ¹
l u ²	l u ²
t i ¹	t i̠ ³
s ɛ ²	s e ²
t u ¹	t u ¹
t e ²	t e ²
p a̠ ³	p a̠ ³
p a̠ ³	p a̠ ³
ɣ ɨ ¹	ɣ ɨ ¹
m o ²	m o ²
n̩ ²	n i ²
h a ²	h e̠ ³
t o ŋ ¹	tʃʰ ɛ ²
ˀn a ³	ɲ a̠ ¹
tsʰ i ²	tsʰ i ²
g u ²	g o ŋ ¹
dʒ ɛ ²	dʒ ɛ ²
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
ˀm e̠ ³	ˀm j e̠ ¹
pʰ e̠ ²	pʰ e ²
ˀv ɛ ²	ˀv ɛ ²
ˀm ɛ ³	ˀm ɛ̠ ¹
d i ¹	d i ¹
dz e ¹	dz e ¹
m a ³	m a ³³
b o ²	b ɨ ¹
v ɛ̠ ³	v ɛ̠ ³
kʰ j i ¹	tsʰ i̠ ³
p ɨ ²	p j ɨ ²
ʒ a ŋ ²	z a ²
dʒ y ¹	dz i ¹
kʰ i̠ ³	kʰ e̠ ¹
b ɛ ²	b o ¹
ts a ¹	ts a ¹
s ɛ ¹	ʃ ɛ ¹
tʃ i ²	tʰ i ²
ʃ ɨ ²	ʃ ɨ ²
n y ¹	n y ¹
tsʰ y̠ ³	tsʰ y̠ ³
s i ¹	s i̠ ¹
b ɨ̠ ¹	b ɨ̠ ¹
m a ³	m a ³
dz i ³	dz ɿ ³
p a ¹	p a ¹
ˀŋ a ²	ɲ a ²
ʒ i ³	ʒ e ¹
g a ²	g ɨ ¹
s e̠ ³	s e̠ ³
t u ¹	t u ¹
d e̠ ¹	d e̠ ¹
h e̠ ³	h e̠ ³
s i ³	s i̠ ¹
ʒ o̠ ³	ʒ o̠ ³
k a ŋ ³	k a̠ ³
t e̠ ¹	t e̠ ¹
m a ŋ ²	m a ŋ ²
tʃ i̠ ¹	tʰ a ¹
s ɛ ²	s ɛ ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
tʰ a ³	tʰ u ²
ˀm o ²	ˀm y ²
tsʰ i ¹	tsʰ e ¹
v i̠ ³	v e̠ ³
a ³	a ²
t o̠ ³	t o̠ ³
x y ¹	x y ¹
ts e ¹	ts e ¹
kʰ y ¹	kʰ j y ¹
ʃ ɛ ¹	ʃ ɛ ¹
ʒ o ³	ʒ o̠ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
tsʰ i ²	d i ²
ʃ ɛ ¹	s e ¹
ʃ a ³	ʃ a̠ ³
t u̠ ²	t i ²
k ɛ ³	k u ²
tʃ a ³	tʃ a ³
z a ¹	s u ¹
t a ³	d a ²
ʃ a ³	ʃ a̠ ³
h e ¹	h e ¹
m o̠ ¹	m o̠ ¹
p ɛ̠ ³	p a̠ ³
pʰ y ²	pʰ y ²
g a ³	g j a ³
p e̠ ²	p e ³
s j a ¹	s y ¹
tsʰ i ¹	tsʰ u ¹
pʰ i ²	pʰ e ²
a ²	a ¹
kʰ i ²	kʰ ɨ ²
dz e ¹	dz e ¹
kʰ ɨ ¹	kʰ i ¹
a ¹	a ¹
tsʰ o ¹	tsʰ y ¹
