tʃʰ a ²	tsʰ i ²
ˀl a ²	l a ²
b o ³	b j e̠ ³
ʒ i ²	ʒ i̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
m e ³	ˀm u ²
b ɛ̠ ¹	b ɛ̠ ¹
k e̠ ³	k e̠ ³
z e̠ ³	z e̠ ³
s j a ³³	s y ¹
ʃ i ²	ʃ ɨ ²
ˀn o̠ ³	ˀn u̠ ³
tsʰ y ¹	tsʰ y ¹
kʰ u ¹	kʰ u ¹
a ¹	a ¹
dz o ¹	dz i̠ ¹
ˀŋ j a̠ ¹	ŋ j a̠ ¹
h a ¹	h ɛ̠ ¹
n u ²	n u ²
t ɛ ¹	t ɛ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
z a ²	z a ²
k e ³	k u ²
z ɛ ¹	z ɛ ¹
pʰ ɨ ²	pʰ ɨ ²
kʰ y ²	kʰ y ²
kʰ i ¹	kʰ i ¹
t o̠ ³	t o̠ ³
ˀl a ŋ ¹	l a ŋ ¹
z a ³	z a ²
t u̠ ²	t i ²
ɲ i ³	ˀn i ³
a ²	a ²
s y ²	s y ²
b a ²	b o ³
kʰ ɨ ¹	kʰ i ¹
k a ³	k a̠ ³
kʰ o̠ ³	kʰ o̠ ³
ˀn o̠ ³	ˀn u̠ ³
dz a ²	tʰ u ²
n i̠ ¹	n i̠ ¹
tʰ a ³	tʰ a ³
pʰ e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
m j j a ²	m j a ²
l e̠ ³	l e̠ ³
ˀm y ²	ˀm y ²
s a ³	ʃ a̠ ³
t a ⁵⁵	t a ⁵⁵
k o̠ ³	k o̠ ¹
m o̠ ³	m o̠ ¹
ts i̠ ²	ts e ²
k j ɛ ²	k j ɛ ²
kʰ a ³	kʰ a ³
v ɛ ¹	v ɛ ¹
kʰ i ¹	kʰ i ¹
k a ²	k a ŋ ²
ʃ o ²	ʃ u ²
pʰ e̠ ³	pʰ e̠ ¹
dz ɛ ²	dz ɛ ²
tʰ a ŋ ²	tʰ a ŋ ²
k a ŋ ¹	k a ŋ ¹
v e ²	v i ²
d e ¹	d i ¹
tʃ a ¹	tʃ i̠ ¹
ˀl u ¹	l u ¹
ˀn i ³	ˀn i ³
b ɨ̠ ¹	b ɨ̠ ¹
ts e̠ ²	ts e ²
b o ²	b o ²
t o̠ ³	t o̠ ³
l a ²	l a ²
ˀn a̠ ³³	ˀn i ¹
b a ŋ ²	b a ŋ ²
x i̠ ³	x ɨ̠ ³
x a̠ ³	x a̠ ³
v u ²	v y ²
a ¹	a ¹
kʰ ɨ̠ ¹	kʰ i ¹
a ²	a ²
ts ɛ̠ ³	ts ɛ̠ ³
b i ¹	b i ¹
ˀl i ²	ˀl i ²
a ¹	a ¹
ɛ ²	ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
h e ¹	h e ¹
kʰ ɛ ²	kʰ j ɛ ²
dz i̠ ¹	dz e ¹
tʰ u ³	tʰ u ³
p o̠ ³	p o̠ ¹
ɨ̠ ²	a ²
ˀl a ¹	ˀl a ¹
l a ²	l a ²
d i ¹	d i ¹
h y ¹	ˀx o̠ ¹
l o̠ ³	l o̠ ³
tʰ a ¹	t ɛ ¹
tʰ y ²	tʰ y ³
m ɨ ¹	m ɨ ¹
tʰ a ²	tʰ a ŋ ²
ˀl e̠ ³	l e̠ ³
d v i ³	d u ¹
kʰ i̠ ³	kʰ ɨ̠ ³
n j a̠ ³	ɲ a̠ ³
tʃʰ i ²	tʃʰ i ²
a ¹	a ¹
a ¹	a ¹
k i ¹	k i ¹
l ɛ ¹	l ɛ ¹
ʃ i ³	ʃ i̠ ¹
l ɛ̠ ³	l ɛ̠ ³
l y ¹	l y ¹
a ¹	a ¹
g i ¹	g i ¹
p a̠ ³	p a̠ ³
m e̠ ¹	m ɛ ³
b a ŋ ¹	b a ŋ ³
p o ³	p y̠ ¹
ɣ ɨ ¹	ɣ i ¹
m̩ ²	m u ²
l a ¹	l a ¹
tsʰ e ¹	tsʰ e ¹
