k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
n w ɨ m ⁵⁵	n ɨ m ⁵⁵
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
ˀb a ¹¹	ˀb a ¹¹
l a ¹¹	l̥ a ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
ʔ w ə ɴ ⁵⁵	ʔ w a ɴ ⁵⁵
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
k i ¹¹	k i ¹¹
n ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
kʰ l e ⁵¹	kʰ l i ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
ˀd a ⁵⁵	ˀd ɛ ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
r̥ w i ¹¹	r w i ¹¹
m a ¹¹	m̥ a ¹¹
m ei ¹¹	m̥ ei ¹¹
ʔ o ¹¹	ʔ o ¹¹
r e ¹¹	r e ¹¹
pʰ w i ⁵⁵	pʰ w i ⁵⁵
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
n w ɛ ¹¹	n̥ w ɛ ¹¹
ʔ r ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
b i ¹¹	b i ¹¹
p l a ⁵⁵	p l a ⁵⁵
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
k ə ⁵⁵	k ɨ ⁵⁵
k u ⁵⁵	k u ⁵⁵
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
