x i̠ ³	x ɨ̠ ³
b ɛ ²	b ɛ ²
m e ¹	m i ¹
b i ²	b i ²
k e̠ ²	k j ɛ ²
tsʰ ɛ ¹	tsʰ ɛ ¹
n i ²	n̩ ²
t e̠ ¹	t e̠ ¹
ts o̠ ³	ʒ i̠ ³
s e̠ ³	s e̠ ³
kʰ i ¹	tʃʰ e̠ ¹
tʰ y ¹	dz i ¹
kʰ i ¹	tʃʰ e ¹
a ²	a ²
dz e ²	dz i ³
v i̠ ³	v i̠ ³
ˀl u ³	l u ³
tʃ a ³	tʃ a ³
m j o̠ ³	m j o̠ ³
ʃ u ²	ʃ u ²
dz i ¹	dz i ¹
m ɛ ²	m ɛ ²
h e̠ ³	h e̠ ³
g i ¹	s i ¹
b j a ²	b j a ²
a ¹	a ¹
h e ¹	h e ¹
kʰ y ¹	kʰ j y ¹
k a ²	k a ŋ ²
a ¹	a ¹
a ¹	a ¹
a ³	a ²
s ɛ ²	s ɛ ²
n a ²	ˀn a ²
h a ¹	h a ¹
p a̠ ³	p a̠ ³
g a ²	g j a ²
n u ¹	n u̠ ¹
m a ³	m o ²
l e̠ ³	l e̠ ³
dʒ i ²	dʒ e ³
g j i ¹	ts ɛ ³
a ³	a ²
k a ¹	dʒ a ¹
d i ³	d e ³
ts a ¹	ts a ¹
s u ¹	s u ¹
ɣ a ²	ˀx a ¹
ɣ i ¹	ɣ i ¹
s ɛ ŋ ¹	s ɛ ²
x a ¹	k u ³
h ɛ̠ ³	h e̠ ³
b i ³	b i ³
d ɛ ²	d ɛ ²
a ¹	a ¹
p a̠ ³	p ɛ̠ ¹
g a ³	g a̠ ³
ɣ e ²	ɣ ɛ ²
g ɛ ¹	g ɛ ²
ɣ i ¹	ɣ ɨ ¹
tʃ e ¹	ts e ¹
m a ²	m a ²
ʃ a ²	ʃ a ²
l u ²	l u ²
p a̠ ³	p a̠ ³
dz u ³	tʰ e̠ ³
a ²	a ²
l ɛ̠ ³	l e̠ ³
ˀn i̠ ¹	ˀn i̠ ¹
a ¹	a ¹
t ɛ̠ ²	dz i ²
v a ²	v a ²
t i ²	t i ²
n a ¹	ɲ a̠ ¹
g o ¹	g u ¹
kʰ i ²	kʰ a ²
s ɛ̠ ³	s ɛ̠ ³
ɣ i ¹	ɣ i ¹
a ¹	a ²
g j ɛ ²	g j o ¹
p y̠ ¹	p y̠ ¹
v a ³	v a ³
ts i̠ ²	ts i ²
ts i ³	ts i̠ ³
ɣ i ³	ɣ a ŋ ²
ʃ a̠ ³	ʃ a̠ ³
k u ³	k u ³³
p y ²	p y ²
pʰ y ²	pʰ j y ²
v ɛ̠ ²	v i ²
ˀn a ¹	ˀn a ¹
v e̠ ³	v e̠ ³
m a ²	m a ²
kʰ a ²	kʰ a ²
k u ¹	k o̠ ¹
dʒ a ¹	dʒ e̠ ¹
t a ³	tʃʰ e̠ ³
tʃʰ i̠ ²	tʃʰ u ²
ˀl y ²	ˀl y ²
m a ³	m a ³
ˀn i ¹	ˀn i ¹
s a ²	s a ²
p ɨ ²	p j ɨ ²
z y ²	z y ²
pʰ i̠ ¹	pʰ i̠ ³
l a ²	l a ²
a ¹	a ¹
kʰ u ²	kʰ u ¹
k ɛ ¹	k ɛ ¹
a ¹	a ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
tʃʰ ɨ ¹	tʃʰ ɨ ¹
k e̠ ²	k j e ²
tʃ i̠ ²	k u ³
g a ŋ ²	g a ŋ ³
ɣ i ¹	ɣ i ¹
b j o ²	pʰ u ¹
t o̠ ³	d o̠ ³
dz e ¹	dz i̠ ¹
v e̠ ³	v e̠ ³
ʒ e ³	ʒ e ³
ts u ¹	ts u ¹
ˀn i ³	ˀn i ³
b ɛ ¹	b ɛ̠ ¹
g u ³	g u ³
