s u ¹	ʒ a ¹
v ɛ ¹	v ɛ ¹
ˀm ɛ ¹	ˀm ɛ ¹
b a ŋ ¹	p ɨ̠ ¹
ˀl a ŋ ²	l a ŋ ²
h e ¹	h e ¹
ts o̠ ³	ts a ŋ ³
g u ¹	g o ŋ ¹
n ɛ ¹	ɲ e ¹
dz a ¹	dʒ e̠ ¹
d ɛ ²	d e ²
a ¹	a ¹
n e̠ ²	ˀn e̠ ³
ʃ i̠ ¹	ʃ i ¹
m a ³	m o ²
ts e ²	ts e ²
b e̠ ³	b e ³
s a ¹	s a ¹
m a ³	m a ³
t a ŋ ¹	t u ¹
d i ¹	d i ¹
a ¹	a ¹
b y ³	b y̠ ³
ˀn i ³	ɲ a ²
a ¹	a ¹
tʃ ɛ ¹	tʃ ɛ ¹
l o̠ ³	l o̠ ³
m a ¹	m a ¹
ˀm o ²	ˀm i ¹
k a ²	k a̠ ³
k a ¹	k a ¹
d u ²	d u ²
kʰ ɛ ¹	kʰ e̠ ¹
pʰ ɨ̠ ²	pʰ e ²
ˀv a ŋ ¹	v y ²
n i ²	n i ²
m a ³	m a ³
ˀn a̠ ³	n a ²
dz i ²	dz i ²
tsʰ y ¹	tsʰ y̠ ¹
k ɨ ²	k j o ²
ˀn u ³	n a ŋ ³
h a ŋ ²	k j i ³
kʰ a ¹	kʰ a̠ ¹
kʰ o̠ ³	kʰ o̠ ¹
ʒ i̠ ³	x i̠ ³
b i̠ ²	b ɨ ¹
n̩ ²	n i ²
a ²	a ²
pʰ e̠ ³	pʰ e̠ ¹
ts o̠ ³	ʒ i̠ ³
a ¹	a ¹
p ɨ̠ ²	p ɨ ²
kʰ ɛ ³	kʰ y̠ ¹
tʃʰ o̠ ³	tʃʰ o̠ ¹
z i̠ ³	z i ³
p o̠ ²	p u ²
g j y o ²	g y ²
ˀn y ³	ˀn y̠ ³
b i ³	b i ³
n y ²	n y ²
tsʰ ɨ̠ ¹	tsʰ y ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
a ¹	a ¹
kʰ i ¹	kʰ i ¹
k a ŋ ¹	x a ŋ ¹
ˀl u ³	l u ³
b a ²	b o ³
d ɛ ²	d ɛ ²
t e ²	dʒ e ¹
s a ²	s u ¹
m e̠ ³	m e̠ ³
ɲ u ¹	n u ²
m j a ²	m j y ²
tsʰ u ³	tsʰ e̠ ¹
m u ³	m a ŋ ³
ŋ a ¹	ŋ a ¹
g a ¹	g i ¹
b y ¹	b y ¹
ʃ ɛ ²	ɣ u ²
kʰ y ¹	kʰ y ¹
m a ³	m a ³
k o̠ ³	k o̠ ³
a ¹	a ¹
ts ɛ ¹	ts ɛ ¹
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
s e̠ ³	s e̠ ³
ɣ i ¹	ɣ ɨ ¹
m a ³	m a ²
a ¹	a ¹
kʰ i ²	kʰ i ²
dz e ¹	dz e ¹
ʒ i ¹	tʃʰ u ¹
m a ³	m a ³³
l e̠ ²	l e̠ ³
m e̠ ³	ˀm e̠ ³
ɣ a ŋ ¹	ʃ u ³
ɣ i ¹	ɣ i ¹
n i̠ ¹	n i̠ ¹
kʰ y ³	k j o̠ ³
ɣ e ²	ɣ ɛ ²
l e̠ ³	l e̠ ³
x a̠ ²	x a̠ ³
ˀn a ²	ˀn a ²
s i̠ ¹	s i̠ ¹
ˀm ɛ ²	m ɛ ²
m u ²	m j u ²
d u ²	d u ²
pʰ a̠ ²	pʰ a ²
d i ²	tʃʰ e ¹
tsʰ i̠ ²	kʰ j i ²
k a ²	k a ŋ ²
ˀm e̠ ³	ˀm j e̠ ¹
ɣ ɨ ¹	ɣ o ¹
ˀl a ²	ˀl a ²
ɣ j i ²	b a ²
tsʰ a ¹	tsʰ ɛ̠ ¹
tʰ a ²	tʰ a ŋ ²
ˀl u ²	l i ²
s a ³	h a ¹
a ²	a ¹
ŋ u ¹	ˀŋ y ¹
l a̠ ²	l a ²
dz a ¹	dz a ¹
