p j o ⁴	p j u ⁴
b r i ŋ ¹	b r i ²
k o ŋ ²	k o ŋ ²
sʰ o ⁴	sʰ o ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ts o ⁴	ts o ⁴
d j a ŋ ¹	d r æ n ¹
s r u ¹	ʂ u ¹
j ɯ ⁴	j ɯ ⁴
ɣ ɔ ⁵	ɣ u ⁴
ŋ w a ⁴	ŋ w a ⁴
tʰ r o ⁴	tʰ r o ⁴
ɣ o ŋ ³	g o ŋ ³
qʰ w ¹	kʰ w ɛ ²
dʑ i ²	dʑ i ²
m ɛ ¹	m ɛ ¹
b r i ²	b r i ²
tɕ i ¹	tɕ i ¹
tɕ o ŋ ¹	tɕ u ¹
j u ŋ ²	ŋ j o ²
p ɯ ²	p u ²
tsʰ j a ⁴	tsʰ w a ⁴
tʰ r o ŋ ¹	tʰ r o ŋ ¹
p r æ ⁴	p r æ ⁴
m æ ŋ ²	m æ ²
dʑ i ³	d i ³
j e n ¹	j e n ¹
ɖʐ ɯ ²	dʑ ɯ ²
qʰ j o ŋ ²	qʰ ɔ ²
z e n ¹	z e n ¹
pʰ e ¹	pʰ e ¹
ŋ w a ⁴	ŋ w a ⁴
n e ¹	n ɛ ¹
b j ɛ ⁴	b j ɛ ⁴
pʰ æ ¹	pʰ æ ¹
tʰ u ³	tʰ r u ³
s i ²	s i ²
q ɯ ¹	q ɯ ¹
d a ¹	d ɔ ¹
tɕ i ¹	tɕ i ¹
ts w ɛ ⁴	ts w ɛ ⁴
k w a ⁴	k w a ⁴
b i ³	b r i ³
b u ²	b ɯ ²
tʰ r o ⁴	tʰ r o ⁴
ɣ ɔ ¹	ɣ ɔ ¹
q æ ŋ ¹	q æ n ¹
