ts j i ³	d i ³
ɣ a ŋ ¹	ɣ æ ¹
g ɯ ¹	g ɯ ¹
pʰ e ¹	pʰ e ¹
d w a ⁴	d w a ⁴
? ɯ ⁴	ʁ ɯ ⁴
t w e n ¹	t w e n ¹
q æ n ¹	q æ n ¹
qʰ o ¹	qʰ u ¹
p j a ⁴	b r æ ⁴
ɯ ²	ɯ̃ ²
qʰ j o ²	kʰ r o ²
d ɔ ⁵	d ɔ ⁵
ɣ ɯ ³	ɣ ɯ ³
ŋ ɔ ŋ ³	ŋ ɔ ³
tʰ j e ²	tʰ j e ²
d o ¹	ɖʐ u ŋ ¹
ŋ o ŋ ¹	ʁ o ŋ ¹
q o ⁴	q ɔ ⁴
b u ³	p u ³
tʰ r e ⁴	tʰ j e ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
j ɯ ¹	j ɯ ¹
d r ɛ ⁴	d r ɛ ⁴
n w e n ¹	ʁ w e n ¹
s r r o ŋ ¹	sʰ r o ŋ ¹
n r e n ²	n j i ²
s w a n ¹	s w a ŋ ¹
n ɔ ³	n ɔ ³
ɕ j e n ¹	sʰ j e n ¹
t w e n ²	t w e n ²
p æ ⁴	p æ ⁴
ts i ⁴	ɖʐ i ⁴
ts i ¹	ts r i ¹
x e n ¹	x e n ¹
tsʰ i ŋ ²	tsʰ r e n ²
q a ŋ ¹	q a ŋ ¹
ɕ i ⁴	s j i ⁴
tʰ o ⁴	tʰ r o ⁴
d r ɯ ³	d r ɯ ³
ɣ ɯ ¹	ɣ ɯ ¹
j i ³	j i ³
b ɔ ³	b ɔ ³
ts j j e n ⁵	ts j e n ⁵
tsʰ i ³	tsʰ e ³
tɕ i ¹	tɕ i ¹
