ts u ³	ts a ŋ ³
ˀm i ¹	m i ¹
pʰ e̠ ¹	pʰ e̠ ¹
d y ³	d a ŋ ¹
l ɛ̠ ²	l e̠ ³
n ɛ ¹	ɲ e ¹
b e̠ ¹	b e̠ ¹
ˀn i̠ ¹	ˀn i̠ ¹
m ɛ ²	m e ²
p ɨ ²	p j ɨ ²
ʒ e̠ ³	ʒ e̠ ³
z a ²	z a ²
l ɛ ³	l a ³
m a ²	m a ²
ˀn a ²	ˀn a ²
l e̠ ²	l e̠ ³
x a ³	ˀx a ³
n e̠ ³	n e̠ ³
ŋ a ¹	ŋ a ¹
ʃ a ¹	s u ¹
s a ²	s a ²
p y̠ ¹	p y̠ ¹
m e ³	ˀm u ²
l y ²	l y ²
tʰ a ŋ ²	tʰ u ²
ˀm ɛ ¹	ˀm ɛ̠ ¹
m i ²	m o ²
s e̠ ²	s ɛ ²
m a ³	m a ³³
kʰ ɨ ²	kʰ ɨ ²
kʰ a ²	kʰ a ŋ ²
dz a ²	dz a ²
h e ¹	h e ¹
a ¹	a ¹
ɣ i ¹	ɣ i ¹
t a ¹	t a ⁵⁵
m i ³	m i ¹
ŋ a ¹	ŋ a ¹
n ɛ ²	n ɛ ²
dz ɛ ²	dz ɛ ²
t a ³	t u ¹
ʃ a ¹	s a ¹
t u ¹	t u ¹
a ¹	a ¹
tsʰ i ¹	k i ¹
s u ¹	ʒ a ¹
s i ¹	s i̠ ¹
b ɛ̠ ³	p ɛ̠ ¹
t a ³	t a̠ ³
pʰ a ²	pʰ a ²
pʰ e ²	pʰ i ²
b o ²	b a ²
z i ³	z i ³
g a ²	g a ²
a ¹	a ¹
z a ²	z a ²
pʰ i̠ ¹	pʰ o̠ ¹
s a ²	s a ²
ɣ ɨ ¹	ɣ i ¹
g o̠ ³	g j o̠ ¹
z i ²	z i ²
m e̠ ³	m e̠ ³
dʒ a ¹	dʒ e̠ ¹
d e ³	d e ³
n u ²	n u ²
z a ²	z a ²
a ¹	a ¹
n i̠ ¹	n i̠ ¹
a ¹	a ¹
m a ³	m a ³
a ¹	a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
m a ³	m a ³
h a ¹	h a ¹
ʃ a ²	ʃ a ¹
kʰ ɛ ²	kʰ j ɛ ²
l y ²	l y ²
b i ¹	b ɨ̠ ¹
tʃ a ³	tʃ a ³
ˀn y ¹	ˀn y ¹
g i ¹	g i ¹
kʰ a ¹	kʰ a ¹
n e̠ ¹	n i̠ ¹
k u ¹	k a ²
m a ²	m a ³
pʰ e̠ ³	pʰ e̠ ³
b a ²	b a ²
g j i ²	g i ²
m a ³	m a ³
p ɨ̠ ¹	p e̠ ³
b ɨ ¹	b ɨ̠ ¹
b e̠ ³	b e ³
ʃ a ¹	ʃ a ³
ʒ i ³	ʒ e ¹
b a ¹	p e ¹
k e̠ ²	k j ɛ ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
ˀl a ŋ ¹	l a ŋ ¹
h e̠ ²	h e̠ ³
kʰ ɛ ³	kʰ ɛ ²
ts e ¹	tʃ e ¹
b ɛ ¹	b ɛ ¹
kʰ ɨ ¹	kʰ i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ʃ a ²	ʃ a ²
ŋ o̠ ¹	ŋ w a ¹
p a̠ ³	p a̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
n y ¹	n y ¹
d a ²	dʒ ɛ ²
n a ³	n a ŋ ³
ʒ i ²	ɣ a̠ ³
dz e ¹	dz e ¹
d u ¹	tsʰ o̠ ¹
k a ¹	k a ¹
kʰ u ²	kʰ u ¹
dʒ u ³	dʒ u ³
ˀn a ²	ˀn a ²
v ɛ ¹	v ɛ ¹
ˀl o̠ ¹	ˀl o̠ ¹
dz i̠ ²	dz i ²
t ɛ ³	t a ³
m a ŋ ²	m a ŋ ²
b ɛ ³	b j e̠ ³
k a ²	k a ŋ ²
