k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
ɟ i m ¹¹	ɟ i m ¹¹
k l o ŋ ¹¹	k l ə ŋ ¹¹
l o ⁵⁵	l o ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
m ə ŋ ¹¹	m ə ŋ ¹¹
tʰ w w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
b e ŋ ⁵⁵	b e ŋ ⁵⁵
s a ¹¹	s a ¹¹
ʔ a m ¹¹	ʔ a m ¹¹
m u ¹¹	m u ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
c a ¹¹	ɟ a ¹¹
l w i ¹¹	l w i ¹¹
tʰ e ¹¹	tʰ e ¹¹
k w a t̚ ⁵¹	k w a t̚ ⁵¹
l a ɴ ⁵⁵	l a m ⁵⁵
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
g a ŋ ⁵⁵	g a ŋ ⁵⁵
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
n e ⁵⁵	n̥ e ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ ⁵¹
tʰ u ¹¹	tʰ u ¹¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
r a ɴ ¹¹	r a ɴ ¹¹
g o t ⁵⁵	k o t ⁵⁵
s u ⁰	s u ⁵⁵
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
n ei ⁵⁵	n ei ⁵⁵
k ə ʔ̚ ⁰	k ə ʔ ⁰
