ʈ r ɯ ¹	d r ɯ̃ ¹
p ɯ ²	p u ²
t æ ⁴	t æ ŋ ⁴
j e n ¹	j e n ¹
m ɯ ⁴	m ɯ ⁴
m ɯ ²	m ɯ ²
p j e n ¹	p r e n ¹
qʰ w a ⁴	qʰ w a ⁴
tɕ r æ n ³	dʑ æ n ³
ɣ ɯ ²	ɣ ɯ ²
ts i ¹	ts r e ŋ ¹
tsʰ i ¹	tsʰ j i ¹
ʈ o ¹	d r o ŋ ¹
d ɯ ¹	d j ɯ ¹
tɕʰ e ⁴	tʰ e ⁴
ɣ ɯ ¹	q ɯ ¹
p j o ²	p j o ²
s r o ¹	sʰ r ɔ ¹
j a ⁴	j a ⁴
qʰ j ɔ ²	qʰ ɔ ²
d ɯ ²	dʑ ɯ ²
tɕʰ j e n ¹	tsʲʰ e n ¹
ʁ ɯ ¹	w u ⁴
s ŋ e n ⁵	s e n ⁵
s r r æ ²	s r e ŋ ²
tʰ ɯ ŋ ²	tʰ u ²
kʰ o ³	kʰ r o ³
j o ⁴	j ɔ ⁴
n ŋ i ²	n j i ⁴
s o ²	s u ŋ ²
ŋ w a ŋ ⁴	ŋ w a ⁴
pʰ ɔ ³	pʰ ɔ ³
tsʰ ø ¹	tsʰ u ŋ ¹
tʰ e ²	tʰ j e ²
ŋ i ¹	ŋ ɔ ¹
tsʰ i ³	tsʰ e ³
ɖʐ w e n ⁵	ɖʐ w e n ⁵
j o ²	n j o ²
qʰ j u ²	qʰ u ²
tʰ a ⁴	tʰ a ⁴
ɖʐ o ŋ ¹	z r o ŋ ¹
b j i ²	b j ɛ ²
ɕ j e n ¹	s j e n ¹
j æ ³	b j o ²
b æ ¹	b æ ŋ ¹
ŋ w æ ⁵	ŋ w æ ⁵
