pʰ u ³	pʰ u ¹
ts i̠ ²	ts i ²
ˀm o ¹	ˀm y̠ ¹
s y ¹	s y ¹
kʰ y ²	kʰ y ²
n e ³	n e ³
tʃʰ i̠ ²	tʃʰ u ²
tʃ a ³	tʃ a̠ ³
l a ¹	l a ¹
t a ŋ ¹	t a ŋ ¹
tʃʰ i̠ ²	tʃʰ i ²
ɲ a ²	ɲ a ²
ɣ i ¹	ɣ i ¹
ʃ ɨ ²	ʃ ɨ ²
l a ²	l a ²
dz a ²	dz a ²
s e̠ ¹	s o̠ ³
tsʰ y ¹	tsʰ a m ¹
k a ¹	k u ¹
b e̠ ¹	b e̠ ¹
e ²	e ²
t a ¹	t a ⁵⁵
ts a ²	dz a ¹
a ¹	a ¹
k o ³	k j o ²
l y ¹	ˀl y ³
a ³	a ¹
k u ¹	k o̠ ¹
kʰ i ²	kʰ ɨ ²
l a ²	l a ²
s i ¹	s i̠ ¹
p a̠ ³	p a̠ ³
dʒ u ¹	dʒ u ³
a ¹	a ¹
tsʰ u ¹	tsʰ u ¹
pʰ j i ²	b a ²
j a ŋ ³	j a ŋ ²
pʰ i̠ ¹	pʰ e ²
a ¹	a ²
ˀl o̠ ¹	ˀl o̠ ¹
z i ³	z i ³
s i ¹	s i̠ ¹
pʰ a ¹	pʰ j a ¹
dz i̠ ¹	dz i̠ ¹
ts u ²	ts i ²
pʰ ɛ ¹	pʰ ɛ ¹
ʃ ɛ ¹	ʃ ɛ ¹
ʒ i ¹	ʒ e ¹
p e ¹	p e ¹
a ²	a ²
d a ²	d a ²
n u ²	n u ²
ʒ a ŋ ¹	ʒ a ŋ ¹
g i̠ ¹	g a ¹
b e ³	b j e̠ ³
tʰ i ¹	t i̠ ³
g a ¹	g a ³
z a ²	z a ²
tʃʰ i ²	tʃʰ e ²
g ɛ ¹	g ɛ ²
g e̠ ¹	g j e̠ ¹
s i ¹	s i̠ ¹
ˀn ɛ ¹	n ɛ̠
ɣ i ¹	ɣ i ¹
t u ¹	t u ¹
ˀl i̠ ²	ˀl u ¹
ʃ u ²	ʃ u ²
n y ¹	ˀn y ¹
b i ¹	b i ¹
l a ²	l a ²
ɣ a ŋ ²	ɣ a ŋ ²
g ɨ ¹	ɣ i ¹
d a ³	d a ²
d i ²	d i ²
p y ¹	p y ¹
n a ²	n a ²
a ²	a ²
ˀv y ¹	v y ²
kʰ ɛ ³	kʰ y̠ ¹
kʰ a ¹	kʰ ɨ̠ ³
l e̠ ³	l e̠ ³
ˀl i ²	ˀl i ²
ɣ i ¹	ɣ i ¹
tʃ a ³	tʃ a̠ ³
h ɛ ¹	h ɛ̠ ¹
ɣ i ³	ɣ i̠ ³
s i ¹	s i̠ ¹
ʃ a ²	ʃ a ²
pʰ i̠ ¹	pʰ i̠ ³
h e ¹	h e ¹
m ɛ ²	m e ²
g j ɛ ¹	g j o ¹
p a̠ ¹	p a̠ ³
g y ²	kʰ y ¹
p ɨ ²	p j ɨ ²
d y ¹	d y ¹
b a ²	b a ²
b a ŋ ¹	b a ŋ ³
l i ²	ˀl i ²
m e̠ ³	m e̠ ³
a ¹	a ¹
s e ¹	s e ¹
pʰ a ²	pʰ a ²
d o̠ ¹	d o̠ ¹
a ²	a ²
d u ²	t u ¹
s a ²	tsʰ i ²
kʰ o̠ ³	kʰ o̠ ³
g a ³	g a ³
b o ¹	b o ¹
l y ²	l y ²
l a ²	l a ²
n i ²	n̩ ²
dz e ²	dz i ³
ɣ i ³	ɣ i̠ ³
h a ¹	h a ¹
ˀx a ²	x a ²
tsʰ y ¹	tsʰ y ¹
ˀx i ¹	x e ¹
m a ²	m ɨ ²
ɲ j a ŋ ¹	ŋ j a̠ ¹
ˀn i ¹	ˀn i ¹
d u ¹	d u ¹
n y ²	n y ²
ˀx i ¹	x e ¹
