ˀl a ŋ ¹	ˀl a ŋ ³
ʃ ɛ ²	ɣ u ²
ˀm e̠ ¹	ˀm j e̠ ¹
h a ¹	h a ¹
ts u ¹	ts u ¹
tsʰ a ¹	tsʰ a ¹
k a ²	k a̠ ³
k ɛ ²	k j e ²
pʰ e ²	pʰ e ²
b ɛ ²	b ɛ ²
b o ²	b o ²
dz i ¹	dz i ¹
s a ²	s a ²
h ɛ ¹	h ɛ̠ ¹
g j u ²	kʰ y ¹
b j ɛ̠ ³	b j a̠ ³
n e̠ ¹	n i̠ ¹
t y ¹	t y ¹
tsʰ i̠ ²	kʰ j i ²
d u ²	d u ²
dz ɛ ²	dz ɛ ²
m o̠ ²	m o̠ ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
h e̠ ³	h e̠ ³
ʃ ɛ ¹	s a ¹
kʰ a ²	kʰ a ²
ˀn i ³	ˀn i ³
ts i̠ ²	ts i̠ ³
z ɛ ¹	k a ²
pʰ e̠ ¹	pʰ e ²
n ¹	n i̠ ¹
pʰ u ³	pʰ u ³
ɣ ɛ ²	ɣ ɛ ²
t ɛ̠ ²	t e ²
t i̠ ¹	t e ²
d u ¹	t u ¹
ts i̠ ³	ts i̠ ³
b ɛ ¹	b j e̠ ³
l y ¹	l y ³
dʒ i ¹	dʒ i ¹
m ɛ̠ ²	m ɛ ²
p a̠ ³	p a̠ ³
ɣ i ¹	ɣ i ¹
ɣ a ³	ɣ a ³
ˀl a ¹	ˀl a ¹
b y ³	b y̠ ³
tsʰ i ²	tsʰ ɛ ²
x i ¹	ˀx y ¹
g ɨ ²	g o̠ ³
b o ²	b o ²
a ¹	a ¹
pʰ y ²	pʰ j y ²
n y ¹	ˀn y ¹
ˀn ɛ ³	ˀn i ³
h a ŋ ²	h a ŋ ²
p a̠ ³	p a̠ ³
ˀl u ¹	l u ³
n i ¹	n i ¹
ʒ e ³	ʒ e ³
pʰ ɛ ³	p ɛ ³
s i̠ ¹	s i̠ ¹
m i̠ ¹	m i̠ ¹
k u ²	k a ²
d y ²	d y ²
t u ¹	t u ¹
x i ¹	x e ¹
pʰ j a ²	pʰ a ¹
ˀm y ²	ˀm y ²
x e̠ ¹	x e̠ ³
dz e ²	dz i ³
m o ¹	m o ²
ˀn e̠ ¹	ˀn e̠ ¹
ˀl i̠ ²	ˀl u ¹
ˀl a ²	ˀl a ²
tsʰ u ¹	tsʰ y ¹
kʰ u ²	kʰ o ²
ʃ u ²	ʃ u ²
n̩ ²	n̩ ²
g j y j ²	g y ²
kʰ i ¹	kʰ i ¹
k i ¹	k j i ³
ts e ¹	ts e ¹
tsʰ i ¹	tsʰ i ¹
kʰ i ¹	k o̠ ³
s i ¹	ɣ u ²
dz e ¹	dz e ¹
kʰ u ¹	kʰ u ¹
n e ²	n i ²
d e̠ ¹	d e̠ ¹
m a ²	m a ²
i ²	i ²
ʃ y ²	s y ²
t e ³	t ɛ ¹
k a ¹	k a ¹
kʰ i ³	kʰ ɨ ³
a ¹	a ¹
ˀl o̠ ¹	ˀl o̠ ¹
tʰ a ²	tʰ a ²
a ¹	a ¹
h y̠ ³	h y̠ ³
ɣ a ²	x a ¹
ˀl o̠ ¹	ˀl o̠ ¹
tsʰ i ²	tsʰ i ²
m a ¹	m a ¹
l i ³	ˀl i̠ ³
b i ²	b o ²
a ²	a ²
tsʰ a ¹	tsʰ a ¹
ŋ u ¹	ˀŋ y ¹
m a ²	m a ŋ ²
pʰ a ²	pʰ a ²
f u ³	f u ³
b o ²	b a ²
g a ²	g a ²
b e ²	b y ²
ts e ²	ts e ²
ʒ o̠ ¹	ʒ o̠ ¹
v u u ¹	v u ¹
tʰ i ¹	t i̠ ³
x a ¹	x a ¹
ʃ a ¹	ʃ a ³
tʃ ɛ ¹	tʃ ɛ ¹
ɣ a ²	ɣ a ²
l y̠ ³	ˀl y̠ ³
ɨ ¹	ɨ̠ ¹
