d o ²	d i ²
n y ²	n y ²
tsʰ i ²	tsʰ i ²
s a ²	s a ²
ˀm o ³	ˀm y̠ ¹
tʃ ɨ̠ ³	tʃ ɨ̠ ¹
k a̠ ³	k o̠ ³
ɣ ɨ ³	ɣ y̠ ³
kʰ a ²	kʰ a ²
tsʰ a ŋ ¹	tʃʰ i̠ ³
ˀv a ¹	ˀv a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ˀn a ²	ˀn a ²
tʃʰ i̠ ¹	tʃʰ i̠ ³
tʃ ¹	v u ¹
kʰ o̠ ¹	kʰ j y ¹
ˀn o ¹	ˀn i ¹
d a ŋ ¹	d a ŋ ¹
l a ²	l a ²
b j o ³	ʃ i ³
n a ¹	n a ¹
pʰ ɛ ŋ ³	pʰ ɛ ³
a ¹	a ¹
x a̠ ³	x a̠ ³
dʒ a ²	h a ¹
b o̠ ¹	b o̠ ¹
dz a ¹	dz a ¹
dz y ¹	dz y ¹
n e ¹	n e ¹
kʰ e ²	kʰ j e ¹
t ɛ ¹	t ɛ ¹
k e ²	k j ɛ ²
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
tʃʰ i ¹	tʃʰ e ¹
ˀn y̠ ³	ˀn y̠ ³
v i̠ ³	ˀv i̠ ³
k u ¹	k u ¹
s e̠ ³	s e̠ ³
kʰ j i ²	tsʰ ɿ ²
dz i̠ ²	dz i ³
g u ¹	g o ŋ ¹
t a ³	d a ²
m a ²	m a ²
ts ɛ ¹	ts ɛ ¹
n a ²	n a ²
k o̠ ³	k o̠ ¹
ˀm i ³	ˀm i ³
g ɨ ²	g o̠ ³
tʰ a ²	tʰ a ŋ ²
s y ²	s y ²
tʃʰ u ²	t u ²
i ¹	i ²
dz i ²	dz e ²
z a ²	z a ²
b e ²	b o ²
b u ¹	pʰ u ²
ɛ̠ ²	e ²
m o̠ ¹	m o̠ ¹
k j a ŋ ³	k a̠ ³
p ɛ ³	p ɛ ³
a ²	a ²
pʰ o̠ ³	pʰ u ¹
ʃ a ²	ʃ a ¹
pʰ j a ²	pʰ a ²
l u ²	l u ²
ʃ i̠ ¹	ʃ i ¹
pʰ e ²	pʰ e ²
b y ³	b y ³
kʰ y ¹	kʰ y ¹
ʃ ɨ ²	ʃ ɨ ²
pʰ j u ²	pʰ a ¹
b y̠ ³	b y̠ ³
ɲ i ³	ˀn i ³
h e ¹	h e ¹
m ɛ ²	m e ²
kʰ i ¹	kʰ ɨ ³
kʰ o ¹	kʰ j o ³
p a̠ ³	p a̠ ³
ɲ e̠ ³	n i̠ ³
t i̠ ³³	t i̠ ¹
m a ³	m a ³³
a ¹	a ²
s ɛ ²	ʃ y ¹
s i ³	s i̠ ¹
ɣ ɛ ²	ɣ ɛ ²
n i ²	n i ²
h e̠ ³	h e̠ ³
n a ŋ ¹	n a ¹
a ²	a ²
h e ¹	h e ¹
pʰ y ²	pʰ j y ²
h a ¹	h a ¹
tʰ e ¹	tʰ e̠ ¹
tʰ ɛ ³	tʰ ɛ ³
t a ²	t a ²
s ɛ ²	s ɛ ²
f e̠ ¹	ˀv e̠ ¹
b ɛ ¹	b ɛ ¹
p a ³	p a̠ ³
m i ¹	ˀm i ¹
kʰ i ¹	kʰ i ¹
n i ³	ˀn i ³
m a ³	m a ³
dz i ³	dz i ²
x i ¹	ʃ ɛ ¹
ˀl a ²	l a ²
tʰ a ²	tʰ a ²
b ɛ̠ ³	b y̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ts ɛ ¹	ts ɛ ³
kʰ o ¹	kʰ o ¹
b j o̠ ²	ʒ o̠ ³
m a ²	m a ²
ˀl a ŋ ²	l a ŋ ²
m o ¹	m u ¹
n a ²	ˀn a ²
pʰ i ²	p i ²
ɣ a ³	ɣ a ³
dz i ²	dʒ i ²
z a ²	z a ²
l e̠ ²	l e̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
d e̠ ¹	d e̠ ¹
n i ³	ˀn i ³
