ˀb u ⁵⁵	ˀb ə ⁵⁵
b l a ¹¹	b l a ¹¹
cʰ r ou ¹¹	cʰ r ou ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
t w a n ⁵⁵	ʔ w a ɴ ⁵⁵
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
cʰ r ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
l u m ¹¹	l u ɴ ¹¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
m e ¹¹	m̥ e ¹¹
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
ˀd ei ¹¹	ˀd ei ¹¹
cʰ r w i t ⁵¹	kʰ r w i t ⁵¹
n a ¹¹	n̥ a ¹¹
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ a ⁵⁵	tʰ a ⁵⁵
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
g o ¹¹	g o ¹¹
s ə ⁵⁵	s ə ⁰
p l o ŋ ¹¹	p l o ŋ ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
b i ¹¹	b i ¹¹
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
s ou ¹¹	s ou ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
