kʰ o ¹¹	kʰ o ⁵⁵
c i ¹¹	ɟ i ¹¹
c i m ¹¹	ɟ i m ¹¹
cʰ u m ⁵⁵	cʰ u ɴ ⁵⁵
r̥ o ŋ ¹¹	r o ŋ ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
s ou ¹¹	s ou ¹¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
pʰ e ⁵⁵	pʰ e ⁵⁵
l a ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
d ə ¹¹	d ə ¹¹
ʔ o ¹¹	ʔ o ¹¹
c j u ⁵⁵	c u ⁵⁵
l ou ¹¹	l̥ ou ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
l i m ¹¹	l i n ¹¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
m̥ a ⁵⁵	m a ⁵⁵
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
w i ⁵⁵	w i ⁵⁵
g o ¹¹	g o ¹¹
k i ⁵⁵	k i ⁵⁵
ŋ j ai ⁵⁵	ŋ j ai ⁵⁵
j ɔ ʔ̚ ⁵¹	j ɔ ʔ ⁵¹
k ɔ ³³	k ə ⁰
cʰ a ⁵⁵	c a ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
m̥ i ɴ ⁵⁵	ˀm i n ⁵⁵
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
ʔ ɔ ɴ ŋ ¹¹	ʔ ɔ ɴ ¹¹
kʰ l e ⁵¹	kʰ l i ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
s r ei ¹¹	s r ei ¹¹
