p r æ ¹	b æ ¹
ʈ u ⁴	ʈ o ⁴
m æ ⁴	m æ ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
j e n ¹	j e n ¹
ts o ŋ ²	ts u ŋ ²
m ɯ ²	m ɯ ²
s r ɔ ²	s r o ²
ɖʐ o ŋ ŋ ²	ɖʐ u ŋ ²
t w e n ¹	t w e n ¹
l o ŋ ¹	l o ŋ ¹
χ ɯ ²	χ ɯ̃ ²
j ɯ ¹	j ɯ ¹
q o ŋ ¹	q o ŋ ¹
qʰ ʔ ɔ ²	qʰ ɔ ²
b æ ⁴	b æ ⁴
m ɛ ⁵	m ɛ ⁵
w e n ¹	ʁ w e n ¹
t æ ⁴	t æ ŋ ⁴
b a ⁴	b a ⁴
tsʰ j i ³	tsʰ e ³
m ɯ ²	m ɯ ²
d r ɯ ¹	ʈ ɯ ⁴
m ø ²	m o ²
ts r u ŋ ¹	ts u ŋ ¹
p u ²	p u ²
pʰ e ¹	pʰ e ¹
tʰ r r æ n ¹	tʰ æ n ¹
m æ ¹	m æ ¹
ŋ ɔ ³	ŋ ɔ ³
pʰ æ n ³	pʰ æ n ³
b i ²	b e ²
x w i ²	x w i ²
t ɯ ⁴	d j ɯ ²
ts r e ŋ ²	ts r e n ²
ʈ o ⁴	ʈ o ⁴
tʰ r r o ⁴	tʰ r o ⁴
j o ⁴	j ɔ ⁴
s j e n ¹	s j e n ¹
sʰ ɔ ¹	sʰ r ɔ ¹
ɣ æ ¹	ɣ æ ¹
ts o ⁴	ts o ⁴
q ɯ ¹	q ɯ ¹
tɕ j e n ¹	tɕ e n ¹
dz i ¹	dz i ¹
kʰ r ɯ ²	ɣ ɯ̃ ²
n r ə n ⁴	n j e ⁴
