m ɯ ³	m ɯ ⁵
qʰ o ⁴	qʰ ɔ ⁴
ts r o ŋ ¹	ts u ŋ ¹
k w i ¹	k w ɛ ¹
b o ¹	b ã ¹
k u ⁵	k o ⁵
d ɯ ²	dʑ ɯ ²
l ɔ ¹	l ɔ ¹
s r r ɯ ²	sʰ r ɯ ²
tsʰ i ¹	tsʰ j i ¹
d r ɯ ¹	d r ɯ ³
n u ¹	n j o ŋ ¹
s r i ¹	s r e ŋ ¹
pʰ æ ¹	pʰ æ ¹
m ɛ ³	m i ¹
ʈ r ɔ ¹	d r ɔ ¹
tɕ j e n ¹	tɕ e n ¹
tɕ j æ n ³	dʑ æ n ³
ɣ ɯ ²	ɣ ɯ ²
ŋ w æ ⁵	ŋ w æ ⁵
ts o ⁴	ts r o ⁴
t w e n ¹	t w e n ¹
ɖʐ ɔ ⁴	ɖʐ o ⁴
pʰ æ n ³	pʰ æ n ³
q æ ⁵	q æ ⁵
ɣ ɯ ³	ɣ ɯ ³
sʰ w ɛ ⁴	sʰ w ɛ ⁴
ɕ r i ²	ɕ w i ²
s r r æ ⁴	sʰ r æ ⁴
m ɛ ⁵	m ɛ ⁵
m ɛ ¹	m ɛ ¹
ʈ w æ n ²	ʈ w æ n ²
b r ɯ n ²	n j i ²
p ɯ ²	p u ²
q a ŋ ¹	q a ŋ ¹
ɣ ɯ ²	ɣ ɯ ²
ts i ²	ts i ²
m æ ⁵	m æ ⁵
kʰ o ⁴	kʰ o ⁴
ʈ r ɯ ¹	d r ɯ̃ ¹
p j æ ⁴	p r æ ⁴
n j e n ⁴	n j e ⁴
p j o ²	p j ɛ ²
ʈ o ¹	d r o ŋ ¹
s r r o ŋ ¹	sʰ r o ŋ ¹
t ɯ ⁴	t ɯ ⁴
