x i̠ ³	x ɨ̠ ³
k o̠ ³	k o̠ ¹
pʰ a ŋ ¹	pʰ j a ¹
b a ŋ ²	b a ŋ ²
a ¹	a ¹
m j o̠ ³	m j o̠ ³
s a ³	ʃ a̠ ³
k a ³	k a̠ ³
z ɛ ¹	z ɛ ¹
dz i̠ ¹	dz e ¹
p e̠ ¹	pʰ e̠ ¹
ʃ u̠ ³	ʃ o̠ ¹
t o̠ ³	d o̠ ³
kʰ i ¹	kʰ i ¹
n y ¹	ˀn y ¹
b o ²	b o ²
k a ³	k j i ³
l a ¹	l a ³
pʰ e ²	pʰ i ²
d ɛ ²	d ɛ ²
a ¹	a ¹
b y ¹	b y ¹
ˀn i ²	ˀn i ¹
g j u ³	g o̠ ³
n a ²	n a ²
t y ¹	t y ¹
tʰ a ²	tʰ a ŋ ²
z a ²	z a ²
a ¹	a ¹
kʰ i ¹	kʰ i ¹
n i ²	n̩ ²
a ¹	a ¹
n e ²	n i ²
ŋ a ¹	ŋ a ¹
ŋ a ¹	ŋ a ¹
a ¹	a ¹
p o̠ ¹	p o̠ ¹
ˀl o̠ ¹	ˀl o̠ ¹
a ¹	a ¹
m o ²	m o ²
ɣ ɨ ¹	ɣ ɨ ¹
ʃ ɿ ²	s u ¹
ts o̠ ³	ts o̠ ¹
t u ¹	t u ¹
dz e ¹	dz e ¹
k o ³	k o ³
dz e ²	dʒ e ¹
b e̠ ³	b e̠ ³
ˀv ɛ ¹	ˀv ɛ̠ ¹
ts e ¹	ts e ¹
tʃʰ a ¹	tsʰ i ²
dz e ¹	dz e ¹
d e ¹	d i ¹
s ɛ ²	s ɛ ²
kʰ y ¹	kʰ y ¹
k j y ³	ts y ³
a ¹	a ¹
m a ŋ ²	m a ŋ ²
m i ¹	m i ¹
tʃʰ ɛ ³	tʰ u ³
t u ³	t j ɛ ³³
ɨ̠ ²	a ²
m i ¹	m e ¹
a ¹	a ¹
x i ²	x ɨ ²
a ¹	a ¹
ʃ a ³	ʃ a̠ ³
ˀn o̠ ³	ˀn u̠ ³
z i ²	z i ²
t a ²	t a ²
m ɨ̠ ³	m ɨ̠ ³
t a ³	t a̠ ³
a ¹	a ¹
g ɨ ²	g o̠ ³
b a ²	b a ²
s ɛ ²	s ɛ ²
d a ²	d a ²
b j o ²	b j a ²
tʃʰ ɛ ¹	tʃʰ ɛ ¹
ʃ a ¹	ʃ a ¹
l a ²	l a ²
z e̠ ³	z e̠ ³
v ɛ ¹	v u ¹
dz i ¹	dz i ¹
ˀn y ¹	ˀn y ¹
t a ³	t u ¹
m a ³	m a ³³
ɣ a ³	ɣ a ³
p ɛ ²	p e ³
b j a ²	b j a ²
b y ²	b a ²
m a ³	m a ³
dz a ¹	dz a ²
e ²	e ²
p y̠ ¹	p y̠ ¹
s i ¹	s i ¹
m o̠ ¹	m o̠ ¹
a ¹	a ¹
ʒ o̠ ³	ʒ o̠ ¹
ˀl y ²	ˀl y ²
ts e ¹	tʃ e ¹
kʰ a̠ ³	kʰ a ³
k u ¹	k u ¹
z a ²	z a ²
m y ¹	m y ¹
kʰ u ²	kʰ o ²
ɣ i ¹	ɣ i ¹
n i̠ ¹	n i̠ ¹
pʰ ɛ ²	pʰ ɛ ²
dʒ a ŋ ¹	dʒ a ŋ ¹
ˀn e̠ ¹	ˀn i̠ ¹
l i ³	ˀl i̠ ³
d e ¹	d e ¹
ʃ ɿ ³	ʃ ɨ̠ ³
kʰ o̠ ³	kʰ o̠ ³
kʰ o̠ ³	kʰ o̠ ³
ʒ i̠ ²	ʒ i̠ ³
k i̠ ³	kʰ ɨ̠ ³
tsʰ i ¹	tsʰ i ¹
kʰ ɨ ¹	kʰ i ¹
l a ²	l a ²
b a ³	b a ³
g a ²	g a ²
n i̠ ¹	n i̠ ¹
