j a ¹¹	j ə ⁰
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
s r ei ¹¹	s r ei ¹¹
ˀd ei ⁵⁵	ˀd ei ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
kʰ w i ⁵⁵	kʰ w i ⁵⁵
cʰ w a ɴ ¹¹	cʰ j a ɴ ¹¹
d ə ⁰	t ə ʔ̚ ⁰
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
l u ¹¹	l u ɴ ¹¹
j a ⁵¹	ŋ j a t̚ ⁵¹
r̥ ɔ ⁵⁵	r ɔ ⁵⁵
l o ⁵⁵	l o ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
b r e ⁵⁵	b r e ⁵⁵
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
j u m ¹¹	j ɨ m ¹¹
b i ¹¹	b i ¹¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
k ə ʔ̚ ⁵¹	k ə ʔ̚ ⁰
n e ¹¹	n ei ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
b r a ⁵⁵	b r a ⁵⁵
m̥ ə ŋ ¹¹	m ə ŋ ¹¹
kʰ l i ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
j e ⁵⁵	j ai ⁵⁵
n i ⁵⁵	n̥ i ⁵⁵
k u ¹¹	k u ⁵⁵
w i ⁵⁵	w i ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
p l a ¹¹	p l a ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
