p r æ ¹	b æ ¹
ʈ u ŋ ⁴	ʈ o ⁴
m æ ⁴	m æ ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
j e n ¹	j e n ¹
ts o ŋ ²	ts u ŋ ²
m ɯ ²	m ɯ ²
s r ɔ ²	s r o ²
ɖʐ o ŋ ŋ ²	ɖʐ u ŋ ²
t w e n ¹	t w e n ¹
l o ŋ ŋ ¹	l o ŋ ¹
χ ɯ ²	χ ɯ̃ ²
j ɯ ¹	j ɯ ¹
q o ŋ ¹	q o ŋ ¹
qʰ j o ŋ ²	qʰ ɔ ²
b æ ⁴	b æ ⁴
m ɛ ³	m ɛ ⁵
ŋ w e ŋ ¹	ʁ w e n ¹
t æ o ŋ ⁴	t æ ŋ ⁴
b a ⁴	b a ⁴
tsʰ j i ³	tsʰ e ³
m ɯ ²	m ɯ ²
d r ɯ ¹	ʈ ɯ ⁴
m ø ²	m o ²
ts r o ŋ ¹	ts u ŋ ¹
p u ²	p u ²
pʰ e ¹	pʰ e ¹
tʰ r r æ n ¹	tʰ æ n ¹
m æ ¹	m æ ¹
ŋ ɔ ³	ŋ ɔ ³
pʰ æ n ³	pʰ æ n ³
b e ²	b e ²
x w ɯ ²	x w i ²
t ɯ ⁴	d j ɯ ²
ts e ŋ ²	ts r e n ²
ʈ o ⁴	ʈ o ⁴
tʰ r r o ⁴	tʰ r o ⁴
j o ⁴	j ɔ ⁴
s j e n ¹	s j e n ¹
sʰ r o ŋ ¹	sʰ r ɔ ¹
ɣ æ ¹	ɣ æ ¹
ts o ⁴	ts o ⁴
q ɯ ¹	q ɯ ¹
tɕ j e n ¹	tɕ e n ¹
dz i ¹	dz i ¹
kʰ r o ŋ ²	ɣ ɯ̃ ²
n j i ⁴	n j e ⁴
