b æ n ²	b æ n ³
ts j i ²	ts u ²
s j i ²	s j i ²
tʰ r æ n ¹	tʰ æ n ¹
tʰ j u ²	tʰ r u ²
tɕ e n ²	ɖʐ e n ²
d r o ŋ ¹	d r o ŋ ¹
ɣ ɯ ³	ɣ ɯ ³
sʰ o ⁴	sʰ o ⁴
m ø ŋ ²	m ø ²
kʰ o ⁴	kʰ o ⁴
pʰ r ɔ ⁴	pʰ r a ⁴
sʰ r ɯ ²	sʰ r ɯ ²
tʰ r o ⁴	tʰ r o ⁴
tsʲʰ i ⁴	tsʰ j i ⁴
m r i ¹	m j i ¹
d r ɯ ¹	ʈ ɯ ⁴
tsʰ w a ŋ ²	tsʰ w a ŋ ²
s r e ŋ ¹	s r e ŋ ¹
ɣ o ⁴	ɣ u ⁴
b j o ⁴	b j o ⁴
k u ŋ ¹	k o ŋ ¹
q a ⁴	q æ ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
ʈ r o ⁴	d r o ⁴
m ɯ ²	m ɯ ²
ŋ ɔ ³	ŋ ɔ ³
p r æ ¹	b æ ¹
n o ŋ ²	n o ŋ ³
g o ¹	g o ¹
d ɔ ⁵	d ɔ ⁵
n ɛ ¹	n ɛ ¹
qʰ o ²	kʰ r o ²
k r o ŋ ²	k r o ²
p ɛ ⁵	b ɛ ⁴
p j o ŋ ⁴	p j o ⁴
p r a ⁴	p r a ⁴
m e ¹	m e ¹
q æ ⁴	q æ ⁴
n j e n ¹	n j e n ¹
m æ ²	m æ ²
χ ɯ ⁴	χ ɯ ⁴
ts r e ŋ ¹	ts r e ŋ ¹
ʔ w e n ¹	ʔ w e n ¹
qʰ o ³³	kʰ r o ³
pʰ ɯ ¹	pʰ ɯ ¹
