p ə ʔ ⁰	b ə ʔ̚ ⁰
s ə ⁵⁵	s ə ⁰
j ou ¹¹	j ou ¹¹
cʰ ei ⁵⁵	cʰ ei ⁵⁵
kʰ j a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
r ɔ ⁵⁵	r ɔ ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
tʰ a ¹¹	tʰ a ¹¹
b l a ¹¹	b l a ¹¹
j a t̚ ⁵¹	ŋ j a t̚ ⁵¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
kʰ w i ⁵⁵	kʰ w i ⁵⁵
k i ¹¹	k i ¹¹
kʰ l ɔ ¹¹	kʰ l ɔ ¹¹
g o t ⁵¹	k o t ⁵⁵
k l ɛ ⁵⁵	k l ɛ ⁵⁵
ɲ̊ a ¹¹	ɲ̊ a ¹¹
n ou ʔ̚ ⁵¹	n ə ʔ ⁵¹
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
ʔ w a ɴ ⁵⁵	ʔ w a ɴ ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
k ɨ ⁵⁵	k ɨ ⁵⁵
p l o m ¹¹	p l o m ¹¹
cʰ r ou ¹¹	cʰ r ou ¹¹
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
k l a ⁵⁵	k l a ⁵⁵
l a ŋ ¹¹	l̥ a ŋ ¹¹
n ei ⁵⁵	n̥ ei ⁵⁵
l a ŋ ⁵⁵	l a ʔ̚ ³³
g o ¹¹	g o ¹¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
s ɨ ¹¹	s w ɨ ɴ ¹¹
s ə m ⁵⁵	s ə m ⁵⁵
