b ɔ ¹	z ɔ ¹
m ø ²	m ø ²
n ɔ ³	h ɔ ³
p j o ²	p j ɛ ²
qʰ o ⁴	qʰ ɔ ⁴
p j o ²	p j o ²
ŋ w a ¹	ŋ w a ⁴
d o ⁴	ɖʐ o ⁴
j e n ¹	j e n ¹
sʰ w a ⁴	s w a ⁴
d æ n ¹	d r æ n ¹
p j ø ¹	p r ɔ ¹
ɕ j e n ¹	s j e n ¹
d ɯ ³	d r ɯ ³
n o ŋ ⁵	n o ŋ ³
pʰ æ ¹	pʰ æ ¹
p ɛ ²	p ɛ ²
q w a ⁴	ɣ w a ⁴
p ɯ ²	p u ²
ɣ u ⁴	ɣ o ⁴
ʈ o ³	ɖʐ o ³
tsʰ o ŋ ¹	tsʰ o ŋ ¹
q ɔ ¹	ɣ ɔ ¹
ɣ æ ⁴	ɣ æ ⁴
ts j j i ²	dʑ i ²
ts j u ²	ts u ²
q æ ⁴	q æ ⁴
ʈ r ɯ ⁴	ʈ ɯ ⁴
n j o ŋ ¹	n j o ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
m ɛ ¹	m ɛ ¹
s w a ŋ ¹	s w a ŋ ²¹
b ɯ ¹	b ɯ ¹
qʰ j u ²	qʰ u ²
n w o ⁴	b j o ⁴
m r æ n ¹	m j æ ¹
s r i ²	s r ɯ ²
k j o ŋ ¹	ɣ o ŋ ¹
ɯ ²	ɯ̃ ²
χ æ n ¹	χ æ n ¹
ɕ j e n ¹	s j e n ¹
m ɯ ³	m ɯ ⁵
m a ⁴	m a ⁴
b i ⁴	p r i ⁴
t a ⁴	d a ⁴
b æ n ¹	b æ ŋ ¹
