k u ¹¹	k u ⁵⁵
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
h a t ⁵¹	h a t̚ ⁵¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
l ei ŋ ⁵⁵	l ei ⁵⁵
d ɨ ⁰	d ə ŋ ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
s a ɴ ⁵⁵	s a ɴ ⁵⁵
s ei ¹¹	s ei ¹¹
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
l a ŋ ⁵⁵	l a m ⁵⁵
m ɨ ¹¹	m ɨ ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
k l ɨ ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
c ɔ ¹¹	c ɔ ¹¹
p l a ¹¹	p l a ⁵⁵
r u ŋ ⁵⁵	r̥ u n ⁵⁵
m ei ¹¹	m̥ ei ¹¹
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
l a ŋ ¹¹	l a ʔ̚ ³³
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
cʰ a n ⁵⁵	cʰ j a ɴ ⁵⁵
cʰ r ou ¹¹	cʰ r ou ¹¹
cʰ a n ¹¹	cʰ j a ɴ ¹¹
h ou ¹¹	h ou ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
kʰ ei ⁵⁵	kʰ ə ⁰
kʰ l ə ¹¹	kʰ l o ¹¹
m a ⁵⁵	m̥ a ⁵⁵
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
l ei ¹¹	l̥ ai ¹¹
