ɪ w ʊ m	iː w ʊ m
k ɔ n t ɛ m p l a m r ɛ	k ɔ n t ɛ m p l aː r iː
a r b ʊ s t ɪ w ʊ m	a r b ʊ s t iː w ʊ m
k l ɪ m a m t ɛ r ɪ k ʊ m	k l iː m a k t eː r ɪ k ʊ m
ɪ ŋ g ɪ n ɛ	ɪ ŋ gʷ ɛ n
p r ɪ m ɔ g ɛ n ɪ t ʊ m	p r iː m oː g ɛ n ɪ t ʊ m
k ɔ k ɔ m ɛ b r ʊ m	k ʊ k ʊ m ɛ r ɛ m
m a rː a m	m a rː a m
k r uː ɛ n t aː r ɛ	k r ʊ ɛ n t aː r ɛ
k ɔ p j ʊ m s ʊ m	k oː p j oː s ʊ m
s t ɪ m uː l a m t j oː n	s t ɪ m ʊ l aː t j oː n ɛ m
m ɛ d ɪ oː k r ɛ m	m ɛ d ɪ ɔ k r ɛ m
s eː kʷ aː k ɛ	s ɛ kʷ aː k ɛ m
w ɪ s ɪ t a m t j ʊ m n ɛ	w iː s ɪ t aː t j oː n ɛ m
r ɛ p l ɪ k aː r ɛ	r ɛ p l ɪ k aː r ɛ
n uː t r ɪ k aː r ɛ	n uː t r iː k aː r ɛ
p r ɔ f ɪ t ʊ m	p r oː f ɛ k t ʊ m
r eː w ɛ n ɪ r ɛ	r ɛ w ɛ n iː r ɛ
k aː pː oː n ɛ	k aː p oː n ɛ m
ɛ l aː k j oː n ɛ m	eː l aː t j oː n ɛ m
l a m ɛ n t ʊ m	l aː m ɛ n t ʊ m
t r aː s l uː k ɛ r ɛ	t r aː n s l uː k eː r ɛ
w aʊ m eː r ɛ	w ɔ m ɛ r ɛ
p l ʊ m b ɛ ʊ m	p l ʊ m b ɛu m
s p ɔ l a m r ɛ	s p ɔ l j aː r ɛ
t ɛ n ɛ r n ʊ m	t ɛ n ɛ r ʊ m
t r ʊ n k aː r ɛ	t r ʊ ŋ k aː r ɛ
a s p ɛ k t ʊ m	a s p ɛ k t ʊ m
eː r ɛ t iː k	h aɪ r ɛ t ɪ k ʊ m
s uː p ɛ r aː r ɛ	s ʊ p ɛ r aː r ɛ
ɔ r ɛ g a n ʊ m	ɔ r iː g a n ʊ m
w ɪ m ɪ n ɛ m	w iː m ɛ n
p ɛ s k aː r ʊ m	p ɪ s k aː r j ʊ m
d ɛ s k r ɪ p t j oː n ɛ m	d eː s k r iː p t j oː n ɛ m
b ʊ b ɪ r ɛ ʊ m	b uː t y r ʊ m
p r aɪ d aː t j ʊ m n ɛ m	p r aɪ d aː t j oː n ɛ m
p ɪ n d ɛ r ɛ	p ɛ n d eː r ɛ
p uː d oː r ɛ	p ʊ d oː r ɛ m
p r ɔ t ɛ s t aː r ɛ	p r oː t ɛ s t aː r iː
k ɪ n t ʊ r a m	k ɪ ŋ k t uː r a m
s k ɪ n d ɛ r ɛ	s k ɪ n d ɛ r ɛ
b ɛ n ɛ f ɪ k j ʊ m	b ɛ n ɛ f ɪ k j ʊ m
aʊ t ɔ r ɪ t aː t ɛ m	aʊ k t oː r ɪ t aː t ɛ m
ɪ n w ɪ g ʊ l a m r ɛ m	ɪ n w ɪ g ɪ l aː r ɛ
f r a ŋ g ɛ r ɛ	f r a ŋ g ɛ r ɛ
a fː l ɪ g ɛ r ɛ	a fː l iː g ɛ r ɛ
p ɛ r ɛ g r iː n aː r ɛ	p ɛ r ɛ g r iː n aː r iː
k ʊ l p a m	k ʊ l p a m
k ɛ r w ɪ n ʊ m	k ɛ r w iː n ʊ m
k a r n ɛ pʰ ɪ d ɛ m	k a r n ɪ f ɪ k ɛ m
k a f l ʊ m	k a p ʊ l ʊ m
l uː n aː r ɛ m	l uː n aː r ɛ m
s ɔ kː ʊ rː eː r ɛ	s ʊ kː ʊ rː ɛ r ɛ
b ɛ n ɛ w ɔ l ʊ m	b ɛ n ɛ w ɔ l ʊ m
ɪ n d ɪ ŋ n aː t j oː n ɛ m	ɪ n d ɪ ŋ n aː t j oː n ɛ m
a k k ɛ d ɛ r ɛ	a kː eː d ɛ r ɛ
l aʊ r j ɔ r	aʊ r ɛ ɔ l ʊ m
a b s ɔ r p t j oː n	a b s ɔ r p t j oː n ɛ m
ɪ r aː k ʊ n d j a m	iː r aː k ʊ n d j a m
a tː ɛ n eː r ɛ	a tː ɪ n eː r ɛ
k ɔ d ɪ k eː	k oː d ɪ k ɛ m
a w ʊ m k aː r ɛ	a d w ɔ k aː r ɛ
a b r ɔ g aː r ɛ	a b r ɔ g aː r ɛ
b uː b aː l ʊ m	b uː b a l ʊ m
f ʊ l ɪ k a m	f ʊ l ɪ k a m
s k uː rː a m	s k ʊ rː a m
n ɔ ɪ s	n oː s
p r aɪ t ɛ r n aː t uː r a l ɛ m	p r aɪ t ɛ r n aː t uː r aː l ɛ m
f uː ɪ n a m	f aː g ɪ n ʊ m
s p ɛ k uː l aː t ɪ w ʊ m	s p ɛ k ʊ l aː t iː w ʊ m
k ɔ n t ɛ n t j ʊ m n ɛ m	k ɔ n t ɛ n t j oː n ɛ m
l ɪ n j aː	l iː n ɛ a m
s iː n ʊ m	s ʊ iː n ʊ m
p ɔ r t aː r ɛ	p ɔ r t aː r ɛ
k a p ɪ t ɛ lː ʊ m	k a p ɪ t ɛ lː ʊ m
p eː n s ɪ l ɛ	p eː n s ɪ l ɛ m
p ɛ r m ɪ t ɛ r ɛ	p ɛ r m ɪ tː ɛ r ɛ
s t aː t w aː	s t a t w a m
ɔ s p ɪ t j ʊ m	h ɔ s p ɪ t j ʊ m
p r d m iː k	p ɛ r d iː k ɛ m
ɔ b l ɪ g aː r ɛ	ɔ b l ɪ g aː r ɛ
t aʊ r ɪ f oː r m ɛ	t aʊ r ɪ f oː r m ɛ m
s p eː l j ʊ m	s p ɛ k l ʊ m
ɛ k s t ɔ r k ɛ r ɛ	ɛ k s t ɔ r kʷ eː r ɛ
m ɛ m ɔ b r aː r ɛ	m ɛ m ɔ r aː r ɛ
k ɔ s t ʊ m ɛ m ɛ m	k oː n s ʊ eː t uː d ɪ n ɛ m
a d uː l t eː r ɪ n ʊ m	a d ʊ l t ɛ r iː n ʊ m
ɛ r ɛ d ɪ r ɛ	h eː r eː d ɪ t aː r ɛ
p r a n t ɛ r ɛ	p r a n d eː r ɛ
r ɛ t oː r	r h eː t ɔ r ɛ m
d eː t ɛ n t j oː n ɛ m	d eː t ɛ n t j oː n ɛ m
ɛ k s p ɪ r aː r ɛ	ɛ k sː p iː r aː r ɛ
a m ɪ k t ʊ m	a m ɪ k t ʊ m
a r g ʊ t j a m	a r g uː t j a m
w ɛ r ɪ t aː t ɛ m	w eː r ɪ t aː t ɛ m
ɪ m p ɛ t ʊ	ɪ m p ɛ t ʊ m
g ɪ n ɛ s t aː	g ɛ n ɛ s t a m
r ɛ f k ɛ r ɛ	r ɛ f ɪ k ɛ r ɛ
m a n t ʊ m	m aː n s ʊ eː t ʊ m
s ʊ p ɛ r ʊ m pː ʊ n ɛ r	s ʊ p ɛ r p oː n ɛ r ɛ
m ɪ s t ɪ k ʊ m	m y s t ɪ k ʊ m
a r m ʊ s	a r m ʊ m
k ɛ n aː r ɛ	k eː n aː r ɛ
ɔ n ɔ m aː t ɔ p eː j a m	ɔ n ɔ m a t ɔ p ɔ ɪ j a m
d eː f oː r m ɛ m	d eː f oː r m ɛ m
p r ɛ s t aː r ɛ	p r aɪ s t aː r ɛ
l uː k r ʊ m	l ʊ k r ʊ m
s ʊ m ʊ m	s ʊ mː ʊ m
k ɛ m	kʷ ɪ s
ɛ k s k ɔ g iː t a m r ɛ	ɛ k s k oː g ɪ t aː r ɛ
d ɪ k aː k ɛ	d ɪ k aː k ɛ m
d ɪ s ɪ m ɪ l ɛ	d ɪ sː ɪ m ɪ l ɛ m
f uː n ɛ b r ɛ m	f uː n ɛ b r ɛ m
m uː nː ɪ r	m ɔ n eː r ɛ
n ɪ s iː k	n ɛ s k iː r ɛ
ɪ n t ɛ r g ɛ k t j oː n	ɪ n t ɛ r j ɛ k t j oː n ɛ m
ɪ n t r ɪ n k ɛ k ʊ m	ɪ n t r iː n s ɛ k ʊ m
l ɪ n aː r ʊ m	l iː n aː r j ʊ m
s p ɔ l j ʊ m	s p ɔ l j ʊ m
b ɛ t ʊ l a m	b ɛ t ʊ l a m
d ɪ s t ɔ r kʷ ɛ r ɛ	d ɪ s t ɔ r kʷ eː r ɛ
r eː g ʊ l aː r ɛ	r eː g ʊ l aː r ɛ
k a w aː l ɛ r ɛ m	k a b a lː aː r j ʊ m
l uː t ʊ m	l uː k t ʊ m
d ɪ s ɔ n aː r ɛ	d ɪ sː ɔ n aː r ɛ
p eː t iː r ɛ	p ɛ t ɛ r ɛ
p a n ɪ ɛ r ɛ m	p aː n aː r j ʊ m
d ɪ r ɪ m ɛ r ɛ	d ɪ r ɪ m ɛ r ɛ
r ɛ g ʊ l a m	r eː g ʊ l a m
a n t ɛ k eː d ɛ r ɛ m	a n t ɛ k eː d ɛ r ɛ
g l aː d j ʊ m m	g l a d j ʊ m
n a b ʊ m k eː lː a m	n aː w ɪ k ɛ lː a m
t r aː d ʊ k t j oː n ɛ	t r aː d ʊ k t j oː n ɛ m
r ɛ m ɪ t aː r	ɪ m ɪ t aː r iː
b a r a t r ʊ m	b a r a tʰ r ʊ m
h ɛ r b oː s ʊ m	h ɛ r b oː s ʊ m
a k k ɛ s ʊ m	a kː ɛ sː ʊ m
a l t aː r ɛ m	a l t a r ɛ m
a m a r ɛ m	a m aː r ɛ
s uː p ɪ n ʊ m	s ʊ p iː n ʊ m
ɛ k s p ʊ r g aː t j oː n ɛ m	ɛ k s p ʊ r g aː t j oː n ɛ m
k ɔ n s ɛ m t iː r ɛ m	k oː n s ɛ n t iː r ɛ
a lː ʊ m t ʊ m r a m	a l aʊ d a m
k ɪ r k ʊ n d aː r ɛ	k ɪ r k ʊ m d a r ɛ
n aʊ s j aː b uː n t ʊ m	n aʊ s ɛ aː b ʊ n d ʊ m
j uː r a m m ɛ n t ʊ m	j uː r aː m ɛ n t ʊ m
d ɪ s p a m r aː r	d ɪ s p a r aː r ɛ
d ɪ g ɛ s t ɪ w ʊ m	d iː g ɛ s t iː w ʊ m
p ɛ l ɪ k a n ʊ m	p ɛ l ɛ k aː n ʊ m
ɛ k r b ʊ s ʊ m	a r b ʊ t ʊ m
t r aː n s m oː n t a m n oː	t r aː n s m ɔ n t aː n ʊ m
f r ʊ n d a m	f ʊ n d a m
m a s k ʊ l iː n ʊ m	m a s k ʊ l iː n ʊ m
r ɛ l ɪ g aː r ɛ	r ɛ l ɪ g aː r ɛ
m ɪ s t ʊ r a m	m ɪ s t uː r a m
ɛ k s aː l t a m r ɛ	ɛ k s a l t aː r ɛ
t ʊ n d ɛ r ɛ	t ɔ n d eː r ɛ
r eː w ɔ l w ɛ r ɛ	r ɛ w ɔ l w ɛ r ɛ
p ɛ k uː n j aː r	p ɛ k uː n j a m
k a t ɛ d r a m	k a tʰ ɛ d r a m
