ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
5496	ProtoLalo	(cocks)comb	kjo¹	kjo¹	k j o ¹	2
5497	Qingyun	(cocks)comb	a⁵⁵jɛ̠³³kø⁵⁵	a⁵⁵jɛ̠³³kø⁵⁵	a ⁵⁵ + j ɛ̠ ³³ + k ø ⁵⁵	1 3 2
5498	Shuizhuping	(cocks)comb	kuɛ²⁴	kuɛ²⁴	k u/w ɛ ²⁴	2
5499	Diaocao	(cocks)comb	i³³kə⁵⁵	i³³kə⁵⁵	i ³³ + k ə ⁵⁵	1 2
5500	Xuzhang	(cocks)comb	kue⁵⁵	kue⁵⁵	k u/w e ⁵⁵	2
5501	Mangdi	(cocks)comb	jɛ²¹ko⁵⁵	jɛ²¹ko⁵⁵	j ɛ ²¹ + k o ⁵⁵	3 2
5502	Yijiacun	(cocks)comb	ka̠²¹kɨ²⁴	ka̠²¹kɨ²⁴	k a̠ ²¹ + k ɨ ²⁴	2 4
5503	Yangliu	(cocks)comb	kei³³	kei³³	k ei ³³	2
8159	ProtoLalo	(of the wind) blow	kʰy¹	kʰy¹	kʰ y ¹	17
8160	Qingyun	(of the wind) blow	a⁵⁵n̩²¹ɕy⁵⁵kʰy⁵⁵	a⁵⁵n̩²¹ɕy⁵⁵kʰy⁵⁵	a ⁵⁵ + n̩ ²¹ + ɕ y ⁵⁵ + kʰ y ⁵⁵	18 20 16 17
8161	Shuizhuping	(of the wind) blow	n̩²¹ɕi³³kʰu³³	n̩²¹ɕi³³kʰu³³	n̩ ²¹ + ɕ i ³³ + kʰ u ³³	20 16 17
8162	Diaocao	(of the wind) blow	mə²¹ɕi⁵⁵kʰə⁵⁵	mə²¹ɕi⁵⁵kʰə⁵⁵	m ə ²¹ + ɕ i ⁵⁵ + kʰ ə ⁵⁵	15 16 17
8163	Xuzhang	(of the wind) blow	a³⁵mu⁴¹hĩ³⁵	a³⁵mu⁴¹hĩ³⁵	a ³⁵ + m u ⁴¹ + h ĩ ³⁵	18 15 16
8164	Mangdi	(of the wind) blow	a⁵⁵mi²¹fi⁵⁵	a⁵⁵mi²¹fi⁵⁵	a ⁵⁵ + m i ²¹ + f i ⁵⁵	18 15 19
8165	Yijiacun	(of the wind) blow	a²⁴xi²⁴lao³³	a²⁴xi²⁴lao³³	a ²⁴ + x i ²⁴ + l ao ³³	18 16 21
8166	Yangliu	(of the wind) blow	mi²¹i³³kʰɨ³³	mi²¹i³³kʰɨ³³	m i ²¹ + i ³³ + kʰ ɨ ³³	15 18 17
1269	ProtoLalo	1PL	ŋa¹tsa³	ŋa¹tsa³	ŋ a ¹ + ts a ³	39 40
1270	Qingyun	1PL	ŋa³³tsa³³	ŋa³³tsa³³	ŋ a ³³ + ts a ³³	39 40
1271	Diaocao	1PL	ŋɔ³³tsɔ³³	ŋɔ³³tsɔ³³	ŋ ɔ ³³ + ts ɔ ³³	39 40
1272	ProtoLalo	1PL	ʔŋa²	ʔŋa²	ˀŋ a ²	39
1273	Shuizhuping	1PL	u²¹	u²¹	u ²¹	41
1274	Diaocao	1PL	na⁵⁵tɕia³³	na⁵⁵tɕia³³	n a ⁵⁵ + tɕ i/j a ³³	39 40
1275	Xuzhang	1PL	nu⁴⁵³	nu⁴⁵³	n u ⁴⁵³	39
1276	Mangdi	1PL	ə⁵⁵xɨ³³	ə⁵⁵xɨ³³	ə ⁵⁵ + x ɨ ³³	41 40
1277	Yijiacun	1PL	ŋo⁵⁵so³³	ŋo⁵⁵so³³	ŋ o ⁵⁵ + s o ³³	39 40
1278	Yangliu	1PL	ŋa⁵³	ŋa⁵³	ŋ a ⁵³	39
2954	ProtoLalo	1PL (inclusive)	a²va²	a²va²	a ² + v a ²	56 57
2955	Qingyun	1PL (inclusive)	a̤²¹va²¹	a̤²¹va²¹	a̤ ²¹ + v a ²¹	56 57
2956	Mangdi	1PL (inclusive)	ə²¹	ə²¹	ə ²¹	56
2957	Yijiacun	1PL (inclusive)	o⁵⁵so³³	o⁵⁵so³³	o ⁵⁵ + s o ³³	56 58
1261	ProtoLalo	1S	ŋa¹	ŋa¹	ŋ a ¹	64
1262	Qingyun	1S	ŋa⁴⁵	ŋa⁴⁵	ŋ a ⁴⁵	64
1263	Shuizhuping	1S	ŋa²⁴	ŋa²⁴	ŋ a ²⁴	64
1264	Diaocao	1S	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	64
1265	Xuzhang	1S	ũ⁴⁵³	ũ⁴⁵³	ũ ⁴⁵³	65
1266	Mangdi	1S	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵	64
1267	Yijiacun	1S	ŋo²⁴	ŋo²⁴	ŋ o ²⁴	64
1268	Yangliu	1S	ŋa³³	ŋa³³	ŋ a ³³	64
2899	ProtoLalo	2PL	ɲa²	ɲa²	ɲ a ²	73
2900	Shuizhuping	2PL	n̩⁴⁴tsa³³	n̩⁴⁴tsa³³	n̩ ⁴⁴ + ts a ³³	73 74
2901	Yijiacun	2PL	ni⁵⁵so³³	ni⁵⁵so³³	n i ⁵⁵ + s o ³³	73 74
2902	Yangliu	2PL	ɲa²¹	ɲa²¹	ɲ a ²¹	73
2903	ProtoLalo	2PL	ni¹tsa³	ni¹tsa³	n i ¹ + ts a ³	73 74
2904	Qingyun	2PL	n̩³³tsa³³	n̩³³tsa³³	n̩ ³³ + ts a ³³	73 74
2905	Shuizhuping	2PL	n̩⁴⁴tsa³³	n̩⁴⁴tsa³³	n̩ ⁴⁴ + ts a ³³	73 74
2906	Diaocao	2PL	ni³³tsɔ³³	ni³³tsɔ³³	n i ³³ + ts ɔ ³³	73 74
2907	Mangdi	2PL	ni⁵⁵xɨ³³	ni⁵⁵xɨ³³	n i ⁵⁵ + x ɨ ³³	73 74
2908	Yijiacun	2PL	ni⁵⁵so³³	ni⁵⁵so³³	n i ⁵⁵ + s o ³³	73 74
2891	ProtoLalo	2S	ni¹	ni¹	n i ¹	92
2892	Qingyun	2S	ŋ̩⁵⁵	ŋ̩⁵⁵	ŋ̩ ⁵⁵	92
